,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),10.070289300574514,6.762538543858013,11.882776616171412,16.579937252266394,18.821197147614452
应收款项(占总资产%),58.01030414703759,59.5318646385296,52.759662359840334,42.97063720471564,40.69885662224667
存货(占总资产%),16.56071945283881,18.10229827055597,19.163971364152683,19.000277637720004,16.925879761957464
流动资产(占总资产%),85.60163738352405,85.68228430661347,84.80601271372731,82.97837691100746,81.99548725676678
非流动资产(占总资产%),14.398362607432638,14.317715685591653,15.193987278707443,17.021623084300508,18.00451273875768
应付款项(占总资产%),44.60466317404141,42.53698449593058,40.38707314034409,42.73591708390932,39.72789315713118
流动负债(占总资产%),76.78104861878336,59.92510769584054,55.42314775660577,56.941092537404025,54.28943694438612
非流动负债(占总资产%),2.268882144217098,2.2602727441149035,2.4651282436937794,1.2342642439761409,1.2795697605534557
股东权益(占总资产%),20.95006922795623,37.81461955224968,42.11172399213522,41.82464321392781,44.43099329058487
负债占资产比率(%),79.04993076300046,62.18538043995544,57.88827600029954,58.17535678138016,55.569006704939575
长期资金占不动产及设备比率(%),287.40497187085214,477.9045064004327,469.3174775167882,1718.310260259131,1777.3024448863023
流动比率(%),111.48797641258139,142.98227836379087,153.01551090995815,145.72670317075892,151.03396142053018
速动比率(%),89.16109899235009,111.52477514307134,117.45459158384554,108.85742919902664,115.59660016300386
应收款项周转率(次/年),3.700085836599801,3.409377127975581,3.557958824957959,5.113806239089175,4.5215871921606885
应收款项周转天数(天),97.29504012869721,105.59113481620412,101.18160936439881,70.39766137738467,79.6180599139396
存货周转率(次/年),10.900939023430208,10.59448470528042,9.87419302693539,11.13480870666564,9.403128787945933
存货周转天数(天),33.024677884722486,33.9799442747526,36.458675553163665,32.33104487236427,38.28512913814747
固定资产周转率(次/年),27.64877584655672,32.12940707336506,24.080822445624964,84.69736372700436,74.79218535599051
完整生意周期(天),130.31971801257012,139.57107909018453,137.64028491680205,102.72870624930783,117.90318905156718
应付款项周转天数(天),85.52619603981711,84.99388324262745,81.061048189049,70.95585601828068,87.92270764127879
缺钱天数(天),44.79352197275301,54.57719584755708,56.57923672775304,31.77285023102715,29.98048141028839
总资产周转率(次/年),2.0831031198020455,2.005651023670415,1.995842024508907,2.3890593840458836,1.890381752536841
ROA=资产收益率(%),5.249349564931773,5.608453947062351,6.045526199562161,7.424496461296054,5.299286693375551
ROE=净资产收益率(%),25.71027293301554,18.69014932052632,15.115594327969973,17.70496848776659,12.278636920122349
税前纯益占实收资本比率(%),228.73626500094653,228.68460763622082,265.09188476787915,441.2896190579394,342.42853840065357
毛利率(%),8.318060835967701,8.147596590249682,7.775500482026416,11.152406272797071,10.76995964204263
营业利润率(%),3.0425691218039836,3.262404477846914,3.487817432071478,3.7532544756864157,3.547653736534266
净利率(%),2.5199662536067797,2.7963259214280183,3.029060479281736,3.107706953915327,2.8032891695741493
营业费用率(%),5.062398656927369,4.67485298567493,4.171452081444734,7.660362522624363,7.639230105632209
经营安全边际率(%),2.8089213362225176,3.016622265039817,3.2361876460533225,3.376674065404349,3.2027218823574954
EPS=基本每股收益(元),1.8539667178763284,1.847165366849204,2.1712039500303923,3.53493487733116,2.7018592364409337
营收增长率(%),17.697922719400722,12.994971551796738,8.51123016675976,58.68967915117793,0.036849390847422114
净利增长率(%),10.448513649718237,25.386904253497747,17.542478099432145,62.809895071902616,-9.762335895151637
净资本增长率(%),25.9691436509257,109.40765857324206,14.74392404981468,60.13695563054088,11.369992080846842
现金流量比率(%),5.477124578629245,-10.363192133628205,14.304879256468197,12.133982670387173,10.595768060564527
现金流量允当比率(%),69.50952066248526,21.026678626489208,39.354237216243924,56.1335594529338,82.08505268168688
现金再投资比率(%),9.454045006153235,-19.707319706394983,14.738608515003964,13.267439305100911,9.688293582465631
