,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),98.42890245632645,11.270092314346918,6.452790833513998,18.492269293056314,15.530040402780083
应收款项(占总资产%),1.915353978259022e-05,3.1926819227657526,3.3895380087919316,2.8082480971685184,4.2128865909382345
存货(占总资产%),9.57676989129511e-06,1.3741657702392989,1.5904087976634125,1.7393097620135571,1.580839125894198
流动资产(占总资产%),99.91209837257267,26.409580480565698,15.519031513929107,13.154860888735653,26.851262100929222
非流动资产(占总资产%),0.08789205065744674,73.59041948887463,84.48096846333858,86.84513909459348,73.14873788677106
应付款项(占总资产%),1.915353978259022e-05,11.055588692932467,10.76049635405837,9.205586721161751,13.745886414288385
流动负债(占总资产%),-19.469799679610887,28.30958678741251,22.30020745622043,35.897082932241446,35.414843763635034
非流动负债(占总资产%),9.57676989129511e-06,22.1170546229519,35.636433604871975,29.71992637779886,27.090895092495632
股东权益(占总资产%),119.469790102841,49.57335855907592,42.06335891617529,34.38299067328883,37.49426113156961
负债占资产比率(%),-19.469799679610887,50.42664141036441,57.93664106109241,65.6170093100403,62.505738856130655
长期资金占不动产及设备比率(%),135883.46050325525,143.08795431691925,226.26386535928802,179.59651781133783,160.88066228184175
流动比率(%),-513.1647431473526,93.28847026407223,69.59142209136931,36.64604421327849,75.81923068985922
速动比率(%),-513.1646447716656,79.72602579183771,58.69477395251651,28.96178485261789,68.51131310178738
应收款项周转率(次/年),16369133.959999999,10.546203781891009,6.509962435799371,6.17522440438276,6.308823092271221
应收款项周转天数(天),1.75940885856349e-05,34.13550537671579,55.2998579783623,58.29747632226766,57.06294086976946
存货周转率(次/年),24159842.099999998,11.817492678399919,7.2569114479633265,6.205675616241014,8.525836685396945
存货周转天数(天),9.933839620943555e-06,30.46331409831208,49.60788057253067,58.01141082197976,42.224594671074975
固定资产周转率(次/年),4458.490526363957,0.7640469499546954,1.1532325131791874,0.9472812555776637,1.4996267155612941
完整生意周期(天),2.7527928069521274e-05,64.59881941770058,104.90773849141326,116.30888709061347,99.28753551957598
应付款项周转天数(天),1644.7763883474393,245.08678059579321,360.47350596019794,341.3399570225676,302.7822444472341
缺钱天数(天),-1644.7763608195112,-180.48796117809263,-255.56576746878468,-225.03106993195414,-203.49470892765814
总资产周转率(次/年),0.25709748999093046,0.33563573078771697,0.21519115585933607,0.18860262939808675,0.22816075875783753
ROA=资产收益率(%),710.8937907576928,10.662832909423205,5.949315353480921,4.072596784700328,3.1834978904153988
ROE=净资产收益率(%),-122.62665957259668,21.41316423865583,13.142768228124574,10.822039826906602,8.800673794530333
税前纯益占实收资本比率(%),598.8487906942794,54.36794594329045,75.86095434997482,70.2904535225491,81.66423506979524
毛利率(%),11.4436637808867,51.77051063732553,49.47714568652917,44.84356097996422,38.41361656587973
营业利润率(%),-11.188492388915794,33.87367222062376,29.245962810150594,19.860165958886387,17.965616971013088
净利率(%),2765.074732589586,31.76906363646949,27.6466536113687,21.59353129669595,13.952872114258518
营业费用率(%),22.42185920942004,16.36936440935274,20.58883685230686,23.361904569481393,20.747407207879903
经营安全边际率(%),-10.03959490322741,22.319007874704397,19.56550794158376,13.71145933206764,12.97966010624549
EPS=基本每股收益(元),5.988487906942794,0.49136843124202145,0.6406727970040503,0.5944301758377001,0.6314054082965896
营收增长率(%),-57.32522478924773,1246.19319791569,49.82727332911915,18.790979696648535,64.38701370608982
净利增长率(%),-277.90154730338463,-84.5330410396,30.385420106045643,-7.217822262395387,6.220281368552577
净资本增长率(%),-100.67142200855473,12903.508472887219,14.067176359033894,11.461678110966304,47.80310881661964
现金流量比率(%),5247.222129571454,7.928684720181321,16.07014194929162,10.471226962729794,1.220635542829208
现金流量允当比率(%),3880.319290191619,-58.75459166004098,-21.932781688395647,-2.26706347301807,12.625504433775728
现金再投资比率(%),-855.1309444460646,0.5408098323188584,0.9539710628242123,3.2294927473066033,-3.0962782790573016
