,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),8.881267707810046,14.491114246984388,14.748387078493867,16.969765692757363,11.900270042797668
应收款项(占总资产%),6.39292266799066,6.981310578023277,4.880339759731881,5.444970498889301,6.997612286073594
存货(占总资产%),26.2832983262173,19.74375319888482,17.166300505316364,18.671117994047467,22.422551184117285
流动资产(占总资产%),53.89182524543479,54.737039795784746,50.534577620160235,50.887755238784585,52.16621494877105
非流动资产(占总资产%),46.10817475204933,45.262960202084294,49.46542237757565,49.11224475897297,47.833785049136615
应付款项(占总资产%),16.686541758279283,12.728651945316274,12.58906644972208,16.857871162599615,12.975234515097696
流动负债(占总资产%),55.117986909627895,53.846600583256176,51.350739534195114,51.856742267662526,55.67402042915004
非流动负债(占总资产%),14.800587020932198,12.76493476985851,15.53229079746585,8.837253635555994,5.460611285293569
股东权益(占总资产%),30.081426066924028,33.38846464475436,33.11696966607492,39.30600409453903,38.86536828346406
负债占资产比率(%),69.91857393056009,66.61153535311468,66.88303033166096,60.69399590321852,61.13463171444361
长期资金占不动产及设备比率(%),109.85422156527021,114.6945204215121,111.83375412795348,111.59129837679431,105.68132526732946
流动比率(%),97.77538742722327,101.6536590995853,98.41061312131737,98.13141553305258,93.69938535909496
速动比率(%),29.64303318373462,48.22775012919491,46.25206225215879,48.436736279680446,39.00026158756146
应收款项周转率(次/年),32.35503212983929,30.53675375746054,31.996356300446585,37.818835538252785,28.55948029302365
应收款项周转天数(天),11.12655362152462,11.789072368116667,11.251281131800447,9.519066221729002,12.605271392883404
存货周转率(次/年),6.9548338270655305,8.740736173111223,10.047800104903676,10.496933909490748,8.228151497619779
存货周转天数(天),51.76255952797938,41.18646219835594,35.82873825294476,34.29572893182856,43.7522328171689
固定资产周转率(次/年),5.724388251883306,5.856531742206633,5.576779605907224,5.569108986335928,5.56235406111972
完整生意周期(天),62.88911314915486,52.97553456623356,47.08001938453354,43.81479515335218,56.35750420977307
应付款项周转天数(天),33.779668530317245,26.338255348403464,24.52822673241653,28.19409737526443,31.520340652292436
缺钱天数(天),29.109444618837614,26.6372792178301,22.551792652117012,15.620697778087749,24.837163557480633
总资产周转率(次/年),1.9127203786362028,2.049470111667117,1.9078305599954084,1.9529689497392164,1.7844471276410816
ROA=资产收益率(%),1.3814350053315092,0.7783686637291246,-1.6023268782245605,0.7309768095797929,1.6045432245916966
ROE=净资产收益率(%),4.577802270646929,2.4421771531658245,-4.818038572357039,2.0178040602927725,4.105995522573366
税前纯益占实收资本比率(%),49.60202123989978,23.234899899820448,-7.941542542912837,4.8986162329351535,9.87017847681804
毛利率(%),2.6724066144488168,3.0053277353331556,2.5989476062855483,3.670026445869078,4.958245654292207
营业利润率(%),0.6907462416846286,0.2959474691409681,-1.0141119903976763,0.48952322024659894,1.25993984324476
净利率(%),0.7222357333267682,0.3797902000567388,-0.8398685458786118,0.3742900314257265,0.8991822731634131
营业费用率(%),1.349791767541161,2.144019948046397,3.1695713560430905,2.550746031452781,2.233481121565193
经营安全边际率(%),0.672767167403108,0.2873127785209225,-0.9884233845060888,0.47219359059602606,1.2004200674187195
EPS=基本每股收益(元),0.38694874199341495,0.17641275832338857,-0.07633557627701346,0.030818553352472935,0.07041237464914386
营收增长率(%),-1.416067326932506,16.61366199208794,-2.163830741902885,-0.2560523897922877,-4.896332183410635
净利增长率(%),-29.514826181129465,-38.678295889200044,-316.3550322104396,-144.45120075080342,128.4739767853122
净资本增长率(%),-0.9913173825693491,31.043005309866658,-6.646127670123818,19.834228815780392,5.973662475490698
现金流量比率(%),2.7128194894192457,9.069711070806555,21.491627564322368,20.923206633420854,-2.898894719714824
现金流量允当比率(%),-5.14597932040472,5.410129998815726,70.71436387974077,93.58600512323223,82.46118559287558
现金再投资比率(%),-1.8035278708910238,5.717630507768897,16.52311537487648,18.688179306516542,-6.979876020936897
