,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),15.31729141914478,19.00487894467632,23.021487900221278,33.67717938825916,24.36577273789445
应收款项(占总资产%),15.505109129731546,16.263990154621716,13.819655728829183,10.692283977911762,11.45717372786334
存货(占总资产%),16.25083863789451,9.496596200635125,7.012165025247522,6.238191735315367,9.360504562539736
流动资产(占总资产%),48.33164741682983,38.612512327031844,33.657517657640696,31.422130223388756,37.241977616739405
非流动资产(占总资产%),51.66835255744881,61.38748764751356,66.34248232041858,68.57786975976026,62.758022369984765
应付款项(占总资产%),20.785306418470856,23.45436603069291,21.595528605720798,17.5588694188292,20.030763100549812
流动负债(占总资产%),54.55909415743289,57.93732029445443,44.240201545040065,42.47257646894843,49.865273175176824
非流动负债(占总资产%),5.394121805226152,6.671701748447206,2.830699610444015,5.233299783414277,14.436717220800304
股东权益(占总资产%),40.046784011619614,35.39097793164376,52.92909882257519,52.2941237307863,35.69800959074704
负债占资产比率(%),59.953215962659044,64.60902204290163,47.07090115548408,47.7058762523627,64.30199039597713
长期资金占不动产及设备比率(%),193.51360503649,134.6310461459926,172.90818965560786,197.59878388870987,137.17255631897268
流动比率(%),88.58586847974614,66.64531965549571,76.0790332446437,73.98216172238726,74.6851972032584
速动比率(%),53.39479153761961,45.145229829256216,54.26986546192411,53.345743766982345,51.5957149016395
应收款项周转率(次/年),4.885103254477756,5.468724525514967,4.943795681230968,5.047557419977891,5.796413399601698
应收款项周转天数(天),73.69342689795448,65.82887799969437,72.81854324364959,71.32162542175426,62.1073713792386
存货周转率(次/年),3.577555603944943,5.176768515986911,6.927645204969038,7.188623691991369,6.312452736299194
存货周转天数(天),100.62736669337346,69.54145205851738,51.965709668132945,50.079127080552205,57.03012991162957
固定资产周转率(次/年),3.3791876265898795,4.024203442821588,2.2177659779198597,2.2370146161999496,2.3039073925426727
完整生意周期(天),174.3207935683743,135.37033004484366,124.7842529009532,121.40075249220715,119.1375012824661
应付款项周转天数(天),120.74975663931748,119.68850707018974,142.9678520641997,147.10798011514993,135.2896711329836
缺钱天数(天),53.57103692905683,15.681822974653912,-18.183599163246484,-25.70722762294278,-16.15216985051751
总资产周转率(次/年),0.7326862055858417,0.8687904182657022,0.7391573628862144,0.6082712447821762,0.6445677657254557
ROA=资产收益率(%),5.518107636007516,6.3670780775232805,6.985572483743166,3.548823955441406,1.9969751998147562
ROE=净资产收益率(%),14.945939715675532,16.88577904126095,15.589255333063962,6.750669594746116,4.642904802732646
税前纯益占实收资本比率(%),81.09244996145381,94.83442969265687,95.85021808962105,32.503964934697606,20.62728788788802
毛利率(%),24.444373639560798,23.39564114921994,23.50018535172129,22.302902245782608,21.804215695632127
营业利润率(%),8.889042637142461,8.439202063288777,10.64693087273939,7.374133601791607,4.038365462091755
净利率(%),7.531338234617495,7.3286697709652096,9.45072434134872,5.834278678749845,3.0981617535699453
营业费用率(%),15.97617507069856,15.48496310077444,16.372853162692984,18.298430241963253,20.84611802199772
经营安全边际率(%),7.142984754689335,6.8391411436352225,8.620983719512285,6.0294019736117015,3.3154562336191535
EPS=基本每股收益(元),0.7070017542605582,0.8051861753319396,0.826561393835392,0.2595803870694381,0.16255843992838165
营收增长率(%),17.722382955944653,17.036902056373975,-7.629311677982145,1.7430329886436908,36.01128579358871
净利增长率(%),18.984213447415257,13.887436176012514,19.117102639924966,-37.19029517523098,-27.774282865838856
净资本增长率(%),13.907878485555685,-10.699849459806956,73.50711133083877,28.642318305074497,-13.352707213812295
现金流量比率(%),21.610937419702125,16.912456938855787,12.92554639261782,12.386759151086356,2.027156835712603
现金流量允当比率(%),126.18042836658681,142.46675041908375,150.22626884424002,125.27495328004241,55.58761651251643
现金再投资比率(%),17.72700940518038,17.396070262315927,6.052897494722194,6.556659280360624,-1.9934807334795173
