,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),13.700452905070728,16.95433057582476,11.878767877154328,10.293731434364934,19.601105556251152
应收款项(占总资产%),23.736070375326918,25.622713288915467,25.858377701557394,25.557071530885565,27.901024918809796
存货(占总资产%),24.392837238803295,20.044729311560868,22.374712823415948,17.793084865025193,16.240707006727085
流动资产(占总资产%),61.86883251963492,64.7032028959157,60.60866174362872,53.685995643074726,63.061351248766805
非流动资产(占总资产%),38.13116746529968,35.29679709018796,39.39133824318288,46.31400434728159,36.93864874414249
应付款项(占总资产%),10.489037980071732,10.430901323722509,11.700663295438856,12.480100223184243,16.097315420628632
流动负债(占总资产%),37.01584279615723,36.96939162059508,29.74642454773621,42.43827397143622,43.69993408095221
非流动负债(占总资产%),4.404873440949373,2.998906898449939,5.473048798152635,4.056153240389504,4.653352456974769
股东权益(占总资产%),58.57928374782799,60.03170146705863,64.78052664092276,53.505572778530585,51.646713454982304
负债占资产比率(%),41.4207162371066,39.96829851904502,35.219473345888844,46.49442721182572,48.353286537926984
长期资金占不动产及设备比率(%),308.61901686686497,315.2601383165125,331.1419094338839,325.92402981608194,409.7196022861176
流动比率(%),167.1414935360522,175.01830578015083,203.75108147701636,126.50372083230657,144.30536925231087
速动比率(%),99.45716463873376,118.32961832435585,125.61441550286432,82.79412568100389,105.98983736813801
应收款项周转率(次/年),2.5843875157353673,3.255322494112682,2.9372016223232893,3.018500138529471,3.5110340059381455
应收款项周转天数(天),139.29799521848287,110.58812160119376,122.56564108669849,119.26452984877861,102.53389722381714
存货周转率(次/年),1.8092599089293395,2.1958225617735234,2.212426896097199,2.427323580973179,3.283470428708203
存货周转天数(天),198.9763869969531,163.94767323007116,162.71724072263316,148.31149941374534,109.64009200109315
固定资产周转率(次/年),3.42072860515333,4.3896188299314005,4.279896664946515,4.510920854584877,8.430341740067453
完整生意周期(天),338.27438217946997,274.5357948068777,285.2828817859015,267.57602924527157,212.17398921683588
应付款项周转天数(天),84.48322357053416,77.47924988749183,84.90015099159876,91.34699995946481,94.4976683614993
缺钱天数(天),253.7911586089358,197.05654491938583,200.38273079430274,176.22902928580675,117.67632085533658
总资产周转率(次/年),0.6581432101158065,0.804633346971219,0.7561421828143635,0.7752817029243927,0.9447435498482819
ROA=资产收益率(%),8.715530250604026,10.361441048337463,10.100724178849836,8.404300285798458,13.981082637570374
ROE=净资产收益率(%),15.127128685162578,17.462669324360984,16.169391786689314,14.423570058325778,26.663976163164744
税前纯益占实收资本比率(%),59.18470824374674,79.05041002369616,79.34547132227966,81.27431341625758,167.41264137657052
毛利率(%),36.178745169985966,39.60502996735866,37.85252567071066,38.23298292970141,41.26907394328896
营业利润率(%),10.700899016873732,11.928635964277095,10.99669175162375,9.93196488612477,16.150097314712973
净利率(%),13.24260451924984,12.877220519728702,13.35823394939709,10.84031811003588,14.79881248049399
营业费用率(%),29.29555789623351,26.697645630864734,25.600715260028732,26.324298052633665,25.045334094268945
经营安全边际率(%),7.857980335709709,8.544560297767319,7.977142020518092,7.184945789078202,11.432153452917987
EPS=基本每股收益(元),0.5454655300293207,0.6787033666409575,0.7018498498803986,0.706953582845861,1.603235198337628
营收增长率(%),0.0285792779501719,28.409524263083796,0.3908156960850562,24.547318272086116,66.11983796004901
净利增长率(%),-9.71969292847615,24.866506115296502,4.140796436110406,1.0711860056410956,126.78082905506821
净资本增长率(%),5.082688543931724,11.100692643855737,13.703056147140074,12.954525298785995,31.279656484227786
现金流量比率(%),26.98255560581535,36.02198935630342,23.888577316454356,18.095170595131684,32.022765121686774
现金流量允当比率(%),48.13893412044546,89.59185651492386,95.58016597607121,101.11641500169493,114.94945410732933
现金再投资比率(%),8.666287358651473,14.796665912390655,5.1754518508077965,8.797452561269127,21.180060921963577
