,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),26.06572455004525,23.017039456760273,15.55903574628443,28.99525105973244,27.891886537383975
应收款项(占总资产%),26.280995657666345,26.822953072616883,30.284227759112763,27.82120365039013,26.044980585465073
存货(占总资产%),9.41978870128595,14.232225653998595,11.945147586500449,11.175529298484344,8.707752877969995
流动资产(占总资产%),75.4949500463869,79.40527376404386,79.18112287831394,78.52434305374439,83.09466651651546
非流动资产(占总资产%),24.505049907372474,20.59472620114903,20.81887709498121,21.475656939214723,16.905333478156734
应付款项(占总资产%),21.78379645617063,26.283437481990774,25.523805905217866,33.839445598806364,30.170433544253463
流动负债(占总资产%),31.0028871096643,41.31770100918465,48.99997934497087,62.43998588186339,50.98319949961297
非流动负债(占总资产%),1.3448588583914947,1.0743100511050534,0.9791121592493792,1.213000471771616,0.8713602586011637
股东权益(占总资产%),67.65225398570357,57.60798890490319,50.0209084690749,36.34701363932409,48.14544023645805
负债占资产比率(%),32.34774596805579,42.39201106028971,49.97909150422024,63.652986353635,51.85455975821414
长期资金占不动产及设备比率(%),438.460955682792,468.4982465354941,467.0211747143529,337.4784555346759,543.4536754750964
流动比率(%),243.50941790273825,192.18221671989807,161.59419635201792,125.7597065980412,162.9844092237929
速动比率(%),184.13763118063213,145.28987326772975,117.067635087412,99.0912778823663,138.74862640665143
应收款项周转率(次/年),10.789476350590965,9.053737081378392,7.658089292731374,11.68306584450441,7.803149848995393
应收款项周转天数(天),33.36584537485398,39.76258603888411,47.009114937236156,30.780741128390826,46.055331636599526
存货周转率(次/年),24.269862539455506,17.130525376136383,14.750163185365752,25.73153814682661,18.97221527881915
存货周转天数(天),14.83321129215809,21.01511725259364,24.40650961124268,13.990613299600833,18.975116747925288
固定资产周转率(次/年),16.917126869121045,17.986583549961754,18.442940369826946,21.58844900411385,20.462848834906165
完整生意周期(天),48.199056665510966,60.7777032894752,71.41562454654625,44.77135442772442,65.03044838421437
应付款项周转天数(天),33.61346833067775,42.064940572224444,48.770519106457414,39.62211896550478,61.661236566788446
缺钱天数(天),14.585588334833218,18.712762717250754,22.64510544008884,5.149235462219636,3.3692118174259207
总资产周转率(次/年),2.6914989439608874,2.407406951743191,2.20411661384529,3.3104087367611004,2.0920312380314554
ROA=资产收益率(%),9.137770206464179,8.715274804648375,7.6440546318966796,11.671063221489224,6.915705021063828
ROE=净资产收益率(%),13.697293118537356,14.074682795981241,14.337593120511627,29.77311092093846,16.059401001595607
税前纯益占实收资本比率(%),66.74031904516578,77.81003186441659,91.29903887416934,139.38900472548477,94.44021255701035
毛利率(%),11.890791447880849,13.43356197353653,13.417233129362046,11.979981781098536,11.544486238596132
营业利润率(%),3.938826787330072,4.513104964255735,4.400034112012771,4.526098627413186,4.2859596535601625
净利率(%),3.3950487795426074,3.620191757317907,3.4680808550836004,3.52177980045124,3.3000130398928595
营业费用率(%),7.724345676143951,8.524740296292585,8.662582488404317,7.014004116064683,7.506011873127274
经营安全边际率(%),3.5202421364271,3.97863285410064,3.8795110677705886,4.041881910876646,3.8423769727106003
EPS=基本每股收益(元),0.5288290653365859,0.6095337447235174,0.7025750697150693,1.0477658601939672,0.7241513733752237
营收增长率(%),16.116450712392563,8.092828270447512,20.319866778447945,307.7676295560854,16.176800956320875
净利增长率(%),-8.357803851585672,15.261013714113886,15.264343048302905,314.0814056609944,8.861138247430716
净资本增长率(%),11.110624738713668,13.124350147316832,13.174042044829164,175.5997197287674,75.05163578372077
现金流量比率(%),19.13781721917778,5.293612663854716,-8.575595865825811,15.271051587088417,-1.0897659128429005
现金流量允当比率(%),96.4565947435038,75.29251694876571,51.56144880013327,65.65150353641718,39.38532470139871
现金再投资比率(%),4.218340963233409,-0.3324178351200868,-12.659864437767377,20.08989711249744,-5.510510284154563
