,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),12.069084384248695,10.22274720831761,9.336453934745116,9.433661839132464,14.394068881587764
应收款项(占总资产%),32.88607233311784,28.07667672759174,21.253677073775727,22.201970010231697,21.819075144046504
存货(占总资产%),16.19028215017813,9.00188251211594,7.079562615696912,8.878650806088944,8.866138290256695
流动资产(占总资产%),66.40172585716128,50.97001438040718,43.33686038757828,47.2469776334629,49.26631162609544
非流动资产(占总资产%),33.59827410899705,49.029985598201705,56.66313960272521,52.75302235835626,50.73368836743659
应付款项(占总资产%),24.70516529694666,29.959667865221924,30.06527686924479,23.803320863391278,20.343542320293913
流动负债(占总资产%),42.03872756794178,52.98879060767086,51.49510116203733,45.20245387520288,47.53261524072765
非流动负债(占总资产%),12.063337280603408,15.435645205003762,24.88854686546222,31.94907458969486,20.349416885620943
股东权益(占总资产%),45.897935117613144,31.57556416593426,23.616351962803943,22.848471526921426,32.11796786718345
负债占资产比率(%),54.10206484854518,68.42443581267462,76.38364802749955,77.15152846489775,67.88203212634859
长期资金占不动产及设备比率(%),221.17678318273235,119.48458225830379,132.85838193426915,166.1373997376284,181.0881308443371
流动比率(%),157.95370042157091,96.19018244294936,84.15724875081185,104.52303707969874,103.64738268635898
速动比率(%),115.4183209760195,77.5372396176622,68.71716892387258,81.92166944957376,84.01472369706039
应收款项周转率(次/年),1.5007711060328432,1.7113407795462405,1.2906100114086756,1.2890517281480474,1.4377540348505402
应收款项周转天数(天),239.87668612859684,210.36137510477366,278.93786392153277,279.2750608464456,250.39053352127607
存货周转率(次/年),1.9918856076152387,2.9999808229386433,2.660999594731415,2.3736137254280836,2.4981751485618426
存货周转天数(天),180.73327006618186,120.00076690942748,135.2875063500346,151.66747472916092,144.10518814183135
固定资产周转率(次/年),5.955433339592112,2.2932280533971823,0.7435119589049776,0.8344567369995377,1.0676960038438568
完整生意周期(天),420.60995610451357,330.3621419697184,414.2253702273939,430.9425355404094,394.49572163962114
应付款项周转天数(天),244.44799232902977,284.32154841525755,529.0948809307556,502.12418101756737,355.25999281592794
缺钱天数(天),176.1619637754838,46.04059355446083,-114.8695107033617,-71.18164547715799,39.235728823693194
总资产周转率(次/年),0.4917355288004615,0.5123635972178006,0.30176827979054877,0.2806010711189724,0.31613532093335517
ROA=资产收益率(%),3.004724315470138,3.381215560066301,2.6959538271710333,2.459108377487864,3.340349730153827
ROE=净资产收益率(%),6.51590087767205,9.10827001404219,10.329759109556793,10.599668772893432,11.919109449959809
税前纯益占实收资本比率(%),26.02959652870101,36.65202416787754,37.18881376078032,24.85609118070207,37.53659726529132
毛利率(%),28.936976300659506,30.99156091088525,32.28506367335401,31.859344448214177,29.894046684099703
营业利润率(%),5.131271284719267,5.026546939264566,3.8994377721301285,5.884921120141414,10.732105932579907
净利率(%),6.110447867509201,6.59925017447934,8.933854240247156,8.76371699831286,10.56620221849453
营业费用率(%),21.730219852446943,23.260685767638158,27.075104129076877,29.55007507949901,27.475537693957946
经营安全边际率(%),3.9796739709127342,3.837305933535804,2.9477536343474484,4.463029256491285,8.262200005732536
EPS=基本每股收益(元),0.21700330909021326,0.32283458964684386,0.424354623457277,0.23250152353529246,0.32870847918654894
营收增长率(%),0.3425703045923285,38.74434708295891,15.696975997668233,39.81922564815642,38.39841197623613
净利增长率(%),4.342643798326918,49.84313202242606,56.6268719500317,37.15649325304753,66.86362681471877
净资本增长率(%),5.463814922884055,8.836924930782388,64.99825094106063,14.673254965234506,77.79598721090878
现金流量比率(%),5.589277243675575,7.348064218711392,-5.611616778720929,-1.1878927280311524,2.7494623956332847
现金流量允当比率(%),3.3472165537235656,9.012970302942005,-3.060150282642884,4.170958798870492,1.352656020805769
现金再投资比率(%),1.4723660016456483,5.028084598875624,-8.37621572952401,-4.123826852797461,-0.7763082930727836
