,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),11.763257881174331,19.49379138420375,10.802243942326704,18.73015292550042,19.99614787675239
应收款项(占总资产%),36.290014636923765,34.992813906574426,40.2861670453835,36.710110250938186,34.9835180547778
存货(占总资产%),13.916619203747793,12.17974402319278,10.45821569937652,8.04325649737284,11.329104721269402
流动资产(占总资产%),69.01837649101964,69.46252310130103,64.82369250726948,68.36319960422925,70.06629615557802
非流动资产(占总资产%),30.981623480571674,30.537476879248317,35.17630747629413,31.636800384479674,29.933703836912695
应付款项(占总资产%),8.662551776516969,7.797896670352378,7.8657592202434525,9.544420275773588,8.291854262477148
流动负债(占总资产%),51.28851664805969,30.58179568980507,32.08253305930285,42.98740408482454,36.74307676779496
非流动负债(占总资产%),0.3985737290126347,2.0768623297506053,1.0471838351741543,0.7095546821885892,11.48326896100251
股东权益(占总资产%),48.312909594519006,67.34134196099369,66.87028308908661,56.30304122169579,51.77365426369326
负债占资产比率(%),51.68709037707232,32.658658019555666,33.129716894477,43.696958767013136,48.22634572879746
长期资金占不动产及设备比率(%),221.50827372879428,329.82978307157686,279.4644037634085,270.22639572915216,309.52896308723007
流动比率(%),134.56886836168906,227.13683578848153,202.0529125746902,159.03076969099098,190.6925121814268
速动比率(%),98.5914097737149,182.57689115446067,165.85135467467677,136.85153058136729,153.86799424305127
应收款项周转率(次/年),3.5333510028180664,3.254314451788098,2.495941708388411,2.4552385618542187,2.6025343918698125
应收款项周转天数(天),101.88628286792458,110.622376892087,144.2341376152846,146.62526301051787,138.32670224998157
存货周转率(次/年),5.130435211148067,5.773748749144718,4.9774921752729755,5.955292464197725,5.771578037258186
存货周转天数(天),70.16948558099723,62.35117170190287,72.32557821907837,60.45043158711414,62.374622241242285
固定资产周转率(次/年),5.4913625449853445,5.545564011331459,4.037584626848471,4.383662539109063,5.385870786247423
完整生意周期(天),172.05576843534215,172.9735485843138,216.55971582285338,207.07569459010537,200.701324486358
应付款项周转天数(天),40.31808275782554,39.43296012405958,50.3835362835262,59.33992119449039,54.7495079365319
缺钱天数(天),131.7376856775166,133.5405884602542,166.17617953932717,147.73577339561498,145.9518165498261
总资产周转率(次/年),1.2327831697369669,1.1559329145512993,0.9450082542904004,0.9370746725673293,0.9284061803555518
ROA=资产收益率(%),11.693159366234527,13.452367293867617,12.985239178620125,13.738700461126474,11.203821789593482
ROE=净资产收益率(%),25.028584684755277,22.568078417871526,19.35610024518435,22.66880560260198,20.909365736952726
税前纯益占实收资本比率(%),123.33861252809999,156.47943916929822,100.78745330286947,131.06021956831034,162.91921609056917
毛利率(%),33.797881183797266,35.637783983570806,40.76213464093207,42.63376705684714,37.7298834230472
营业利润率(%),10.637018618467922,12.46231636950542,13.726907430872695,15.664538939118556,13.912977454092998
净利率(%),9.4851711560381,11.63767128856449,13.740873814824445,14.661265384031319,12.067801815164845
营业费用率(%),20.976345141140136,20.913442997965568,24.04258350409894,24.446365123011645,22.650509560592333
经营安全边际率(%),7.950065071550662,9.187938643272824,9.751846592756248,10.98234959529282,10.101640332736137
EPS=基本每股收益(元),1.028720964109425,1.3993170033220816,0.877356915073267,1.1627257238427486,1.4085530816845588
营收增长率(%),31.02349250586147,28.27061986268353,5.954281119624923,31.980493836020912,47.03747380963469
净利增长率(%),93.50669611429922,57.379480206595474,25.10272619671035,40.82081455251003,21.027690673500615
净资本增长率(%),35.256335174749296,103.58025999165679,17.511066520472497,22.565921271711005,38.26566262262119
现金流量比率(%),14.600481546710913,22.328222414190858,21.584738678271552,15.507853570365365,0.48945836403093623
现金流量允当比率(%),13.813419639155947,28.404716902160022,46.55815485628369,60.86836943804506,32.393899312210806
现金再投资比率(%),7.390075075195654,6.288918950796053,7.299176477632603,8.94255965019855,-2.3366365202481387
