,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),36.05724811460659,31.284620491461695,22.279152545981145,36.983055400944046,22.989248221052513
应收款项(占总资产%),22.472068948709556,25.714710083945146,29.566492451942032,21.044106702183747,21.76869310338596
存货(占总资产%),8.25293624210384,9.40260400930792,11.653451746708852,6.349785737840769,5.491706520585706
流动资产(占总资产%),69.73265869340055,68.00442027366506,66.21525009668593,80.62522809653281,80.40883120078325
非流动资产(占总资产%),30.267341213245754,31.995579637179812,33.784749823673884,19.37477185906485,19.591168757779126
应付款项(占总资产%),9.327199589545918,8.703720251862801,13.560693608995583,6.889696737213309,8.307510022976503
流动负债(占总资产%),14.202373347238536,14.53135763150017,19.811967397375966,11.375333501612952,13.525083604455359
非流动负债(占总资产%),0.4059708432296032,0.8189070387986105,1.3459188283860049,0.7009599750729342,0.7692894396654698
股东权益(占总资产%),85.39165571617816,84.64973524054608,78.84211369459786,87.92370647891177,85.70562691444155
负债占资产比率(%),14.60834419046814,15.35026467029878,21.15788622576197,12.076293476685885,14.294373044120828
长期资金占不动产及设备比率(%),375.53972790697475,355.11336540927255,298.77848877241115,586.5525150376568,553.9905699942943
流动比率(%),490.9929948334941,467.983939153886,334.21844737784,708.772430895227,594.5163320686758
速动比率(%),417.66746544077324,396.5944145232799,266.0786002735458,648.6786267719741,549.55128715156
应收款项周转率(次/年),1.0333510043124028,1.1879639438346794,1.2812066749235516,1.2131698122936825,1.1827377111089878
应收款项周转天数(天),348.38113694975686,303.03949883546886,280.98511009074593,296.74328789243077,304.3785580261837
存货周转率(次/年),1.8130704062633773,1.8063711371993785,1.8817006863550543,2.0413956276748184,2.4293392280420245
存货周转天数(天),198.55820008880497,199.29459107347697,191.31629191662108,176.3499408276351,148.1884431783454
固定资产周转率(次/年),1.1990277075440767,1.5748470750692034,1.2558232049417652,1.527748014385158,1.578711754802744
完整生意周期(天),546.9393363527063,502.3340893398552,472.30140160356973,473.09322842149203,452.56700098314366
应付款项周转天数(天),206.12167507197546,203.06575904616895,203.55653469692027,198.35788162723134,191.27450317105402
缺钱天数(天),340.8176612807308,299.2683302936863,268.74486690664946,274.7353467942607,261.29249781208966
总资产周转率(次/年),0.23544036000607974,0.2866638674401766,0.35552413564107754,0.2923106672216101,0.25332955808839924
ROA=资产收益率(%),3.136823384054884,3.972072646811995,5.142960285321804,4.890652491838177,4.817534553813384
ROE=净资产收益率(%),3.5809347987695688,4.672358125689216,6.30401968240397,5.77593915523089,5.551666822400497
税前纯益占实收资本比率(%),53.13610132152792,48.07194569537309,35.64566890859967,40.50951181843202,53.78967488243862
毛利率(%),40.36371227351808,44.28974723127134,43.941998618534164,42.3968250395318,43.36427653930927
营业利润率(%),6.650374876318637,9.78482465553153,11.419049384932647,13.173077020203984,22.1315273963216
净利率(%),13.323218546941234,13.856202630780508,14.465854094203824,16.73100926758532,19.01686712760146
营业费用率(%),30.848076060697437,30.612387691584253,28.902824582427407,25.348541647944025,25.39825636705828
经营安全边际率(%),4.73795881328606,6.781372095584976,7.933090754974632,9.250962594528994,15.437267867949881
EPS=基本每股收益(元),0.47557039844749416,0.42696572787288506,0.2996641797075285,0.3574153374502821,0.4682605208972896
营收增长率(%),5.2881248506090515,29.489449114878283,34.4534512865298,21.318282714116307,15.26501890062275
净利增长率(%),7.547243842631019,34.669561216652596,40.36919208979646,40.315066774134465,31.012988636326213
净资本增长率(%),2.6089455372817696,3.7995122062457654,4.266995021946897,100.02027680766221,4.451432227776891
现金流量比率(%),35.23458593654819,13.470062695027021,8.093796085967432,9.615742407365097,42.49212973998247
现金流量允当比率(%),,25.284216913374184,38.15501414590431,43.08435364847178,68.70093340068804
现金再投资比率(%),4.692069261947869,1.1622254775158625,-0.532107728291816,0.7675358520309401,5.495961122241948
