,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),6.356992168601215,6.192803881119339,11.173017851245177,10.493597028060028,14.36718756418146
应收款项(占总资产%),3.7503048028722086,4.397778248552328,6.264257655604764,6.268353863955219,5.269500004901249
存货(占总资产%),13.420347794755964,15.19681787694541,15.552017057159611,13.495885406548217,11.966193907055631
流动资产(占总资产%),32.1344561908009,33.35615260794274,39.64457940800366,38.98240769652618,41.482267296637296
非流动资产(占总资产%),67.86554379123902,66.6438473770773,60.35542058071702,61.017592292390354,58.517732692610295
应付款项(占总资产%),13.953955410914162,16.50063890641104,17.435694944357795,11.63159420082891,14.562913606157895
流动负债(占总资产%),41.03548315308028,46.2419604723874,52.21674655677224,61.939804226988805,58.86318415601296
非流动负债(占总资产%),15.883343949289925,16.26501841357873,12.941126867742211,3.0559751668485946,7.142201228793707
股东权益(占总资产%),43.08117287966972,37.493021099053905,34.842126564206225,35.00422059507914,33.99461460444094
负债占资产比率(%),56.918827102370194,62.50697888596613,65.15787342451446,64.9957793938374,66.00538538480666
长期资金占不动产及设备比率(%),109.19714997300424,99.26252632999673,98.27357103549514,79.98685789724158,92.96374372529566
流动比率(%),78.30895046821061,72.13394989396082,75.92311282039907,62.935955604078295,70.47234682227491
速动比率(%),28.799187235319778,25.685968419654078,38.343514799581904,31.565143675821712,38.11926632197238
应收款项周转率(次/年),20.041448751908327,18.579348402577775,13.752785978494499,10.833964425045004,14.667103810151872
应收款项周转天数(天),17.96277322191433,19.37635224905634,26.17651434969025,33.22883346259981,24.54472295773183
存货周转率(次/年),3.922143867926301,4.362953782451527,4.017946841122931,3.902081546271807,5.617139913183068
存货周转天数(天),91.7865361013487,82.51290701194026,89.597999686708,92.25845117710955,64.08955542893506
固定资产周转率(次/年),1.4983817521208174,1.631053376546071,1.4894103422418907,1.5540119357165083,2.0944333268213913
完整生意周期(天),109.74930930917891,101.88925925026146,115.77451402708073,125.48728463060336,88.6342783817712
应付款项周转天数(天),81.2418402983418,87.981037123762,99.10857765561556,92.2157481801751,66.10520442966711
缺钱天数(天),28.507469010837113,13.908222126499467,16.665936371465165,33.27153645042826,22.529073952104085
总资产周转率(次/年),0.725606260780635,0.7623720100586782,0.7512510102141214,0.678891280673245,0.8450238720645945
ROA=资产收益率(%),2.6578946102948553,3.0549447677342454,3.1705136585768305,1.7266557486361274,1.1196240486420608
ROE=净资产收益率(%),5.910281298722512,7.630815562505979,8.811686323382832,4.944054274465592,3.2460620277884713
税前纯益占实收资本比率(%),60.284862070188304,75.04322984520533,32.17779090072489,21.686690348790528,13.861711031717938
毛利率(%),15.33517776124828,17.653995713793833,17.638505647337652,16.572047074913502,15.449853939848298
营业利润率(%),3.936085393571989,4.7760567042174005,4.230662203749801,2.3496922504051563,2.1696034837620557
净利率(%),3.662998451453269,4.00715756451307,4.220312006143012,2.543346479040756,1.3249614425234253
营业费用率(%),10.336973491203704,11.845550220033301,12.698621850565441,13.33502770239338,12.552490542575057
经营安全边际率(%),3.412736226687018,4.059408841358588,3.596324333150476,2.015656677020656,1.8792604838568812
EPS=基本每股收益(元),0.4258653115156316,0.5649340674089716,0.24390694309087524,0.15288977175241086,0.10154695474552326
营收增长率(%),12.379411705747813,21.262303517796013,25.08411358583828,4.014359824543746,27.494297268430884
净利增长率(%),-1.3952712073403006,32.65557163863966,31.737765514074624,-37.31635139436017,-33.58159089123038
净资本增长率(%),1.1306623809877152,4.342228418933786,23.419070390461783,2.2404568582257838,0.1060149197193283
现金流量比率(%),12.715566881085913,8.137778648991636,5.11758282836441,11.402189878095387,19.56433997914602
现金流量允当比率(%),,,17.020644873920524,27.553991669479622,47.29126432216798
现金再投资比率(%),2.5409127974719414,1.0246099405798765,-0.9858486045276629,9.64498347358376,19.86493515914942
