,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),21.332308822902977,15.109705608470462,14.903726364138212,24.60764970347681,26.570182700491884
应收款项(占总资产%),23.481429271203595,25.56356738063791,23.857355300117135,25.335869959097572,20.592803313660298
存货(占总资产%),19.569313003742614,21.282124308902723,18.66646547857482,17.194242461427194,22.39788330784056
流动资产(占总资产%),67.60157937230412,63.60447300696222,66.42261094787109,68.18472679082402,55.518132656689815
非流动资产(占总资产%),32.39842059958832,36.395526966415154,33.57738902863244,31.815273189531307,44.48186732794931
应付款项(占总资产%),21.45575421388253,21.077144798961758,22.415676194060417,26.358404963918392,27.406973512548493
流动负债(占总资产%),27.40762315428792,29.34663834136048,31.79860769359162,40.94218043417636,50.07797141944694
非流动负债(占总资产%),1.3361937328987727,1.9542934463248323,1.915303933424152,1.6343985547365172,1.14194006863112
股东权益(占总资产%),71.25618308470574,68.69906818569206,66.28608834948776,57.42342099144244,48.78008849656105
负债占资产比率(%),28.743816887186696,31.30093178768531,33.71391162701577,42.57657898891287,51.21991148807806
长期资金占不动产及设备比率(%),366.58330824618236,346.56044625499385,332.10395581119883,307.9273611451481,301.51898618615803
流动比率(%),246.6524693601527,216.73512383058528,208.885280572132,166.5390705503094,110.86338177448751
速动比率(%),166.74114022856517,141.04552555894955,148.2625691351761,121.77038686324484,62.68661176573778
应收款项周转率(次/年),4.644914637771117,4.430434825689882,4.244042287569884,4.303143263609265,4.966683262331279
应收款项周转天数(天),77.50411530680425,81.25613260837265,84.8247909278104,83.659775591409,72.48297924257848
存货周转率(次/年),4.3392361910706425,3.738581266965685,3.629731512094078,3.9636698826307804,4.043894149358406
存货周转天数(天),82.96390972627874,96.29321231449372,99.18088941631103,90.82491993280122,89.02310162215335
固定资产周转率(次/年),5.269960504508244,5.715190824087316,5.325800981239401,6.348998989171759,6.138547958142412
完整生意周期(天),160.4680250174144,177.5493449056451,184.00568032697754,174.48469551048657,161.50608085529734
应付款项周转天数(天),93.0003506539401,100.11857294996267,108.6311307007323,124.8801072473259,119.26206223027064
缺钱天数(天),67.46767436347429,77.43077195568245,75.37454962624524,49.60458826316068,42.2440186250267
总资产周转率(次/年),1.10484637253842,1.0877047382735403,1.0464640903146976,1.0612676985062262,1.1261517465367488
ROA=资产收益率(%),7.425130125582954,7.297993234912273,7.963618077623158,9.208107651814457,7.24649844782001
ROE=净资产收益率(%),10.164876177209067,10.434210606891552,11.812420876551313,14.982494169956823,13.783716808526112
税前纯益占实收资本比率(%),74.70406454823984,70.99017698184052,86.1053093952152,117.98480175457999,113.46615327394056
毛利率(%),28.301432723417523,29.714309351772783,31.00075513049651,33.27837832441084,27.771058294970906
营业利润率(%),7.876235301995971,7.547587649095151,8.678252719388952,9.986935055818334,7.549641022422515
净利率(%),6.720509120659554,6.709535204067691,7.610025178531145,8.676517397936973,6.434744224298148
营业费用率(%),20.18938744106292,21.858224413089232,22.019167284991315,22.93704837857679,20.658281629802996
经营安全边际率(%),6.138852181779575,5.818623779298562,6.6245822100369605,7.49328974539988,5.908725436861839
EPS=基本每股收益(元),0.6203836917740408,0.6065598968487275,0.7250658514430321,0.9779839383000365,0.9552594824425922
营收增长率(%),21.265863957905523,7.724811849712054,5.3925956154885455,18.302772409926703,31.70546265809716
净利增长率(%),12.441998048749099,7.548907642184474,19.537386578509768,34.88208461178286,-2.3236023811252835
净资本增长率(%),7.995197957315142,1.7889419041586336,9.325051757086754,3.6153810255328267,8.638169387714711
现金流量比率(%),32.68338682868984,18.80118103103352,50.14741852691289,42.415001303890726,26.782794887961686
现金流量允当比率(%),,,60.006544452682235,92.85432355883927,93.65788558988775
现金再投资比率(%),10.00761529585368,0.3211484652048101,20.64645618003585,18.412265648335666,16.90598855184979
