,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,28.5117794472185,,
应收款项(占总资产%),,,0.8000655158692073,,
存货(占总资产%),,,2.6098313232631987,,
流动资产(占总资产%),,,59.60970145656407,,
非流动资产(占总资产%),,,40.39029840034551,,
应付款项(占总资产%),,,1.2449386785463241,,
流动负债(占总资产%),,,10.023620702040857,,
非流动负债(占总资产%),,,4.2068395698380785,,
股东权益(占总资产%),,,85.76953958503064,,
负债占资产比率(%),,,14.230460271878936,,
长期资金占不动产及设备比率(%),,,240.36327703576822,,
流动比率(%),,,594.6923010911573,,
速动比率(%),,,538.2410519268171,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,0.6980088452186265,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,36.27667008600913,,
毛利率(%),,,65.28119478181968,,
营业利润率(%),,,35.78579464537536,,
净利率(%),,,34.042577863461624,,
营业费用率(%),,,28.776586772231532,,
经营安全边际率(%),,,21.651461736233568,,
EPS=基本每股收益(元),,,0.3084286420053501,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,100.19157384901627,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,3.1237934397385665,,
