,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,22.20178470219485,,
应收款项(占总资产%),,,25.87779704247493,,
存货(占总资产%),,,5.968548261944348,,
流动资产(占总资产%),,,94.56416538818651,,
非流动资产(占总资产%),,,5.435834474037753,,
应付款项(占总资产%),,,12.779399113840647,,
流动负债(占总资产%),,,15.209704867269897,,
非流动负债(占总资产%),,,1.3777573958870016e-07,,
股东权益(占总资产%),,,84.79029499495435,,
负债占资产比率(%),,,15.209704867269897,,
长期资金占不动产及设备比率(%),,,3972.371779203657,,
流动比率(%),,,621.7356967595097,,
速动比率(%),,,582.4390071887657,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,18.792712491734086,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,61.55696163443039,,
毛利率(%),,,41.2342680082243,,
营业利润率(%),,,15.748737241826078,,
净利率(%),,,18.079966269561588,,
营业费用率(%),,,23.345354082311786,,
经营安全边际率(%),,,11.15079043062623,,
EPS=基本每股收益(元),,,0.5263935202360648,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,32.26930123435607,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,-2.006047563560008,,
