,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,58.74888751047048,,
应收款项(占总资产%),,,6.718783767654991,,
存货(占总资产%),,,6.08539476288695,,
流动资产(占总资产%),,,85.59386662666009,,
非流动资产(占总资产%),,,14.406133293925732,,
应付款项(占总资产%),,,7.816304328229403,,
流动负债(占总资产%),,,20.616842125228903,,
非流动负债(占总资产%),,,0.47942730893848534,,
股东权益(占总资产%),,,78.90373048641844,,
负债占资产比率(%),,,21.09626943416739,,
长期资金占不动产及设备比率(%),,,764.347866564686,,
流动比率(%),,,415.16477536692616,,
速动比率(%),,,378.12522252592987,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,4.988136089227108,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,134.3414300406042,,
毛利率(%),,,30.157417529367343,,
营业利润率(%),,,22.235528853640155,,
净利率(%),,,19.999654262718412,,
营业费用率(%),,,7.335759526990356,,
经营安全边际率(%),,,17.08356640421447,,
EPS=基本每股收益(元),,,1.1568715677262438,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,71.99050310460493,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,7.877617870171433,,
