,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,34.4135538768785,,
应收款项(占总资产%),,,22.316774738529293,,
存货(占总资产%),,,11.27927718927488,,
流动资产(占总资产%),,,70.88010409509907,,
非流动资产(占总资产%),,,29.119895827814133,,
应付款项(占总资产%),,,10.548489465454493,,
流动负债(占总资产%),,,25.7573217437515,,
非流动负债(占总资产%),,,4.139854756967331,,
股东权益(占总资产%),,,70.10282342219438,,
负债占资产比率(%),,,29.89717650071883,,
长期资金占不动产及设备比率(%),,,319.30540289027994,,
流动比率(%),,,275.1842935695099,,
速动比率(%),,,222.6555348181401,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,3.3627874443356847,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,72.3013169154736,,
毛利率(%),,,23.73452555969181,,
营业利润率(%),,,10.787442889360806,,
净利率(%),,,9.24797027228774,,
营业费用率(%),,,11.725642327634379,,
经营安全边际率(%),,,8.718215745011884,,
EPS=基本每股收益(元),,,0.5975682099604531,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,20.539817707232494,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,5.871715977585725,,
