,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),16.84181046546219,9.380731730324838,10.281161433901254,6.441790939657838,8.06010884775957
应收款项(占总资产%),41.91263501262644,42.22573783464937,30.442739807645758,29.642721599023137,29.64758027534956
存货(占总资产%),16.351357116529428,16.884812978146872,10.99665988026141,13.837244645115993,19.873624978220995
流动资产(占总资产%),76.47292924778425,69.3803966215166,75.42842091997832,68.14657820888652,67.17285954260987
非流动资产(占总资产%),23.527070688777478,30.619603318620527,24.57157903685757,31.85342175457913,32.827140423746926
应付款项(占总资产%),24.754118010664286,23.655489759078304,15.006702568821703,15.346017247989105,16.48372232283003
流动负债(占总资产%),26.989778918892387,26.19488974953238,18.1549726201651,23.17251500443447,27.621668017163298
非流动负债(占总资产%),1.059231192886929,1.3854027962195241,1.719324796492637,2.7052470349937296,2.669611863828392
股东权益(占总资产%),71.95098982478241,72.41970739438521,80.12570254017815,74.12223792403745,69.70872008536512
负债占资产比率(%),28.049010111779317,27.580292545751906,19.874297416657736,25.877762039428198,30.291279880991688
长期资金占不动产及设备比率(%),404.4822838110412,338.91215989347,433.9237725526702,370.44997417523666,370.47902816641283
流动比率(%),283.340331530127,264.86233431923847,415.469757618167,294.083650775084,243.18900444047787
速动比率(%),219.46831206455917,198.39629557244007,352.2107353685244,231.62583675496026,163.83202970119433
应收款项周转率(次/年),1.482510833400872,1.4918917798533586,1.3357889881214708,1.225971778316264,2.0444243360327516
应收款项周转天数(天),242.83127727074512,241.30436553418608,269.5036435874291,293.64460564485813,176.08868826020165
存货周转率(次/年),2.831707963171607,2.810661639702087,2.639819791647105,2.2322854711874602,2.8458224948908226
存货周转天数(天),127.13175354499954,128.08372022111547,136.37294493149048,161.26969593439637,126.50121367179156
固定资产周转率(次/年),3.1758412294542837,3.5008162249113925,2.2578366493439024,1.646307447706301,3.1773731703810038
完整生意周期(天),369.9630307130142,369.38808567088176,405.8765884226867,454.91430146521657,302.58990188614155
应付款项周转天数(天),194.02941240218945,186.3487777772756,188.7060240938587,195.43225947898648,118.74213459875376
缺钱天数(天),175.93361831082473,183.03930789360618,217.17056432882802,259.4820419862301,183.8477672873878
总资产周转率(次/年),0.5581638493773281,0.62769446015204,0.4725932684440372,0.3679074578918793,0.6060747267930248
ROA=资产收益率(%),6.1674329549843,6.509016242312732,3.9989082306891133,1.8175242513778782,3.616130230146617
ROE=净资产收益率(%),8.294251635034922,9.016238946433337,5.200329764009575,2.3642816632718424,5.034670489110049
税前纯益占实收资本比率(%),54.049786027583316,31.750440100056544,20.83027066127567,4.730070085850844,9.705040929581916
毛利率(%),25.22256113320366,25.553663466282984,24.79503224830097,23.943041907275774,20.27149687829605
营业利润率(%),13.067235832673694,12.235115628759875,9.158617092828326,6.023272715623481,7.067599800886379
净利率(%),11.049502676339904,10.369720698743306,8.461627563191328,4.940166910008704,5.966475862128335
营业费用率(%),10.800362253233613,11.998118966351376,13.144373331207907,13.881184232971632,13.326749286766873
经营安全边际率(%),10.435208890811307,9.744929212715146,7.3389276222195265,4.859710253141609,5.876371363398059
EPS=基本每股收益(元),0.4623927320144398,0.26719466587471513,0.17528441689603144,0.03606444513039121,0.08106191321760493
营收增长率(%),25.196043287577012,23.14660721589499,-7.540464256484711,-1.3251987896535837,86.10640891538287
净利增长率(%),-7.4618276798019565,15.570442084022318,-24.55359480911858,-42.390517833550014,124.7696066293023
净资本增长率(%),5.948337508774543,6.66299424159547,53.44400949803091,9.294463110153657,2.1274676442336613
现金流量比率(%),-8.615476242132686,15.705577265257057,30.68679095770798,12.404988090604634,-7.693063897702405
现金流量允当比率(%),,,28.118270236565014,42.265859932195795,18.468261593871247
现金再投资比率(%),-5.839037401583489,3.0990094648110675,5.720914167445319,1.6689464896773483,-3.8478395607275813
