,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),45.81951118678999,38.49384921015972,37.52394548387915,14.626026886936195,19.642539076865752
应收款项(占总资产%),31.50778195349812,29.167638878528145,41.75781134208536,42.337398015953305,40.03195215805624
存货(占总资产%),1.8884571279151396,1.9952999052932567,1.8809597754863228,2.070744819704673,1.7739716812484259
流动资产(占总资产%),82.37120231320463,84.08647322067615,76.86876494842336,58.79072550134876,66.73051897324636
非流动资产(占总资产%),17.6287974622051,15.91352658869852,23.131234899756006,41.20927439907815,33.26948095411597
应付款项(占总资产%),14.184665637416416,9.096324589613827,9.98905823912701,7.982667149175068,9.24596959689277
流动负债(占总资产%),20.795955407894237,15.318710628494397,15.454154531066603,29.56594916110377,41.55342007191322
非流动负债(占总资产%),2.245902658260594e-07,8.481719322856609,9.836999911710409,9.007634364416864,5.3349252839125585
股东权益(占总资产%),79.20404436751551,76.19956985802368,74.70884540540234,61.42641637490627,53.11165457153656
负债占资产比率(%),20.795955407894237,23.800429951351006,25.291154442777014,38.57358352552064,46.88834535582578
长期资金占不动产及设备比率(%),477.21350991167225,577.90870247078,654.0308053601354,549.6179411645485,517.5086078823947
流动比率(%),396.0924122406569,548.9135098478746,497.3987029749483,198.84606099740984,160.58971497679977
速动比率(%),379.4682411520998,454.39791814552166,468.14074504646806,179.59142311127343,140.01638472412722
应收款项周转率(次/年),2.9122315981303992,3.3363446987659118,3.1353714014243286,2.9997691808962137,1.9123487103746901
应收款项周转天数(天),123.61654132000821,107.9025192360876,114.81893292098857,120.00923318892353,188.25018538334004
存货周转率(次/年),28.651177259431684,35.87562777271999,40.303999881346584,45.86200646372217,28.323667882995785
存货周转天数(天),12.564927996694875,10.03466706357869,8.932115544823882,7.849634516103141,12.710217943689676
固定资产周转率(次/年),5.165550250350487,6.365109818959174,7.881296517891936,9.412303689089375,6.855328514756248
完整生意周期(天),136.1814692923197,117.93718628484783,123.75104845611637,127.85886769986908,200.9604033171057
应付款项周转天数(天),91.29520894929254,58.944236575208734,44.36007847454604,34.52596833888503,58.31326488666564
缺钱天数(天),44.886260343027146,58.99294970963909,79.39096998157032,93.33289936098404,142.64713843044004
总资产周转率(次/年),0.8925156290208669,1.0089772914140058,1.1342538614776994,1.2631377957400574,0.7841466955443559
ROA=资产收益率(%),10.563506178815322,11.905018911217367,14.08132569498962,13.947155313787016,10.33225152070196
ROE=净资产收益率(%),13.44382902912601,15.345687235885816,18.682994724761954,20.914235778948324,18.248806094420843
税前纯益占实收资本比率(%),44.14952551542062,30.510912160011667,29.124292679134207,40.73442422047962,42.077923146732914
毛利率(%),32.50438899356737,30.798355416562252,31.361673288892327,27.54469957054029,31.402030596392365
营业利润率(%),13.700813454725722,13.579572902379663,14.022798866647209,13.15088482019127,15.691621778375337
净利率(%),11.835653973624574,11.79909497289225,12.414615592016434,11.041673638097416,13.176426768541367
营业费用率(%),18.268154170096455,16.456481520773732,16.742702447521964,13.616767719008365,16.926431019265962
经营安全边际率(%),10.339894065992675,10.382067006218765,10.67495450960653,10.310804654738316,11.941688958044267
EPS=基本每股收益(元),0.3765054702791211,0.25836895344233046,0.24771329283928517,0.3385825642275301,0.3591275400959549
营收增长率(%),13.729840012339437,28.172024550156863,37.15365724002996,56.50976897624497,-11.116453613845465
净利增长率(%),12.321679622901343,27.776113049913093,44.30851761334708,39.20123086396222,6.067935842623811
净资本增长率(%),10.385847270327048,13.348427030798149,23.103185282272648,25.36374534279176,18.52632218638138
现金流量比率(%),36.82596439120369,-24.206498796889967,44.16944489795366,0.02634378665291579,-5.791471070701268
现金流量允当比率(%),,,48.79839814527944,40.39503060650515,9.040217833941632
现金再投资比率(%),6.210782790996786,-7.135720125398179,2.920668818626241,-5.530337488867643,-11.850599639690689
