,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,56.130992510717945,,
应收款项(占总资产%),,,2.7949439675681256,,
存货(占总资产%),,,9.862452260742552,,
流动资产(占总资产%),,,89.99233374951285,,
非流动资产(占总资产%),,,10.007666208108299,,
应付款项(占总资产%),,,20.640949385819468,,
流动负债(占总资产%),,,31.134390304559332,,
非流动负债(占总资产%),,,4.237885051543243e-08,,
股东权益(占总资产%),,,68.86560965306181,,
负债占资产比率(%),,,31.134390304559332,,
长期资金占不动产及设备比率(%),,,1357.9804487297781,,
流动比率(%),,,289.0447917775363,,
速动比率(%),,,239.0501064644063,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,23.379059748349444,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,21.695556232679408,,
毛利率(%),,,26.863002481170774,,
营业利润率(%),,,2.7672229036143343,,
净利率(%),,,3.315147242155012,,
营业费用率(%),,,23.663159320082407,,
经营安全边际率(%),,,2.181268651611056,,
EPS=基本每股收益(元),,,0.2312837866800903,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,-2.7303698719549403,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,-3.961068293483282,,
