,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,6.2355882798916085,,
应收款项(占总资产%),,,29.404602143239387,,
存货(占总资产%),,,16.533439789778175,,
流动资产(占总资产%),,,52.55979714828085,,
非流动资产(占总资产%),,,47.44020270801394,,
应付款项(占总资产%),,,8.73866888691213,,
流动负债(占总资产%),,,12.871506169578725,,
非流动负债(占总资产%),,,3.794937608653014,,
股东权益(占总资产%),,,83.33355607806307,,
负债占资产比率(%),,,16.66644377823174,,
长期资金占不动产及设备比率(%),,,218.830170364991,,
流动比率(%),,,408.3422395872735,,
速动比率(%),,,278.94092731346933,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,1.7848606148138462,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,56.68059804749467,,
毛利率(%),,,24.381156555367863,,
营业利润率(%),,,11.976244498802833,,
净利率(%),,,11.328594568628597,,
营业费用率(%),,,11.387282721288752,,
经营安全边际率(%),,,9.628664687220244,,
EPS=基本每股收益(元),,,0.4835942574679084,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,-7.309214276662229,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,-11.098496643858622,,
