,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,23.413806028189263,,
应收款项(占总资产%),,,52.66525524543597,,
存货(占总资产%),,,2.9093952680717674,,
流动资产(占总资产%),,,79.82839136379813,,
非流动资产(占总资产%),,,20.171608465552904,,
应付款项(占总资产%),,,17.065642840846174,,
流动负债(占总资产%),,,24.64004183176852,,
非流动负债(占总资产%),,,0.22753190023749945,,
股东权益(占总资产%),,,75.13242609734502,,
负债占资产比率(%),,,24.867573732006022,,
长期资金占不动产及设备比率(%),,,514.9457310657156,,
流动比率(%),,,323.9783087868356,,
速动比率(%),,,311.7829569930105,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,7.061032334489569,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,61.09729520343983,,
毛利率(%),,,31.593910076835613,,
营业利润率(%),,,16.192692751494974,,
净利率(%),,,14.00743801190694,,
营业费用率(%),,,13.144773140558474,,
经营安全边际率(%),,,12.30504720320288,,
EPS=基本每股收益(元),,,0.5000847357944916,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,16.777289158996304,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,2.553170715245351,,
