,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,20.06952630718742,,
应收款项(占总资产%),,,22.509996031185718,,
存货(占总资产%),,,28.477775859797987,,
流动资产(占总资产%),,,76.06030390927124,,
非流动资产(占总资产%),,,23.939695980567304,,
应付款项(占总资产%),,,13.206943240433185,,
流动负债(占总资产%),,,31.10177745909304,,
非流动负债(占总资产%),,,1.5072537030743773,,
股东权益(占总资产%),,,67.39096872767114,,
负债占资产比率(%),,,32.60903116216742,,
长期资金占不动产及设备比率(%),,,382.93791916197586,,
流动比率(%),,,244.55291579366283,,
速动比率(%),,,140.2865925904797,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,2.2128754134371924,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,64.05321542914047,,
毛利率(%),,,34.807725059703955,,
营业利润率(%),,,16.34116790743882,,
净利率(%),,,15.556788116863313,,
营业费用率(%),,,16.75991325798035,,
经营安全边际率(%),,,12.121833448492366,,
EPS=基本每股收益(元),,,0.5509094726469009,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,-11.896573506736825,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,-5.626599868277925,,
