,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,34.89625243103929,,
应收款项(占总资产%),,,27.46425196334498,,
存货(占总资产%),,,20.313135175081197,,
流动资产(占总资产%),,,89.95612025370403,,
非流动资产(占总资产%),,,10.043879600979782,,
应付款项(占总资产%),,,14.187473940018508,,
流动负债(占总资产%),,,49.28914740464074,,
非流动负债(占总资产%),,,0.0763636541014574,,
股东权益(占总资产%),,,50.63448879594162,,
负债占资产比率(%),,,49.3655110587422,,
长期资金占不动产及设备比率(%),,,1786.190909977918,,
流动比率(%),,,182.50695076949586,,
速动比率(%),,,137.94552007768283,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,41.207388003470044,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,64.03981306826627,,
毛利率(%),,,40.81733797253168,,
营业利润率(%),,,5.582413909249459,,
净利率(%),,,8.914961760490698,,
营业费用率(%),,,31.81116690381287,,
经营安全边际率(%),,,3.964294446709668,,
EPS=基本每股收益(元),,,0.5844104764309809,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,-9.564535432418014,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,-11.846930208826386,,
