,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,18.40099455342138,,
应收款项(占总资产%),,,30.076958664795427,,
存货(占总资产%),,,16.60230354123072,,
流动资产(占总资产%),,,79.6183302878055,,
非流动资产(占总资产%),,,20.381669513392584,,
应付款项(占总资产%),,,16.246390345579883,,
流动负债(占总资产%),,,23.9199433902593,,
非流动负债(占总资产%),,,1.513477401621644,,
股东权益(占总资产%),,,74.56657900931715,,
负债占资产比率(%),,,25.433420791880945,,
长期资金占不动产及设备比率(%),,,530.0439568546566,,
流动比率(%),,,332.8533363440524,,
速动比率(%),,,258.7291318825513,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,4.987967388201011,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,43.145441680734336,,
毛利率(%),,,32.34436838222311,,
营业利润率(%),,,10.102071178671924,,
净利率(%),,,11.77392497403962,,
营业费用率(%),,,17.52733430613521,,
经营安全边际率(%),,,7.633170419081365,,
EPS=基本每股收益(元),,,0.37840459249430636,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,-28.38351978819312,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,-11.210022645434238,,
