,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,39.8691278907766,,
应收款项(占总资产%),,,22.542326186870255,,
存货(占总资产%),,,3.436149523616669,,
流动资产(占总资产%),,,95.0942913363383,,
非流动资产(占总资产%),,,4.9057085838945085,,
应付款项(占总资产%),,,12.374386301127686,,
流动负债(占总资产%),,,13.459157439550792,,
非流动负债(占总资产%),,,1.8429254659777807,,
股东权益(占总资产%),,,84.69791701470425,,
负债占资产比率(%),,,15.302082905528575,,
长期资金占不动产及设备比率(%),,,2168.3949911543027,,
流动比率(%),,,706.5397013137647,,
速动比率(%),,,678.6230815912332,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,8.106713494364023,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,62.60862551195687,,
毛利率(%),,,44.4556747136904,,
营业利润率(%),,,30.25753385536954,,
净利率(%),,,27.390878758229043,,
营业费用率(%),,,13.19259123762199,,
经营安全边际率(%),,,20.945894936519213,,
EPS=基本每股收益(元),,,0.5267423280162883,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,96.4358445090293,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,11.956360739965577,,
