,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),21.977677020544164,22.594279196457066,19.14219708561443,19.022083960208118,15.664664615584407
应收款项(占总资产%),1.195852544205469e-10,1.0801305661822568e-10,9.898030489888222e-11,8.488117696236373e-11,7.971535241954839e-11
存货(占总资产%),5.979262721027345e-11,5.400652830911284e-11,4.949015244944111e-11,4.2440588481181865e-11,3.9857676209774194e-11
流动资产(占总资产%),5.979262721027345e-11,5.400652830911284e-11,4.949015244944111e-11,4.2440588481181865e-11,3.9857676209774194e-11
非流动资产(占总资产%),5.979262721027345e-11,5.400652830911284e-11,4.949015244944111e-11,4.2440588481181865e-11,3.9857676209774194e-11
应付款项(占总资产%),1.195852544205469e-10,1.0801305661822568e-10,9.898030489888222e-11,8.488117696236373e-11,7.971535241954839e-11
流动负债(占总资产%),5.979262721027345e-11,5.400652830911284e-11,4.949015244944111e-11,4.2440588481181865e-11,3.9857676209774194e-11
非流动负债(占总资产%),5.979262721027345e-11,5.400652830911284e-11,4.949015244944111e-11,4.2440588481181865e-11,3.9857676209774194e-11
股东权益(占总资产%),5.143302000000513,5.514012533832112,5.859040168184435,6.492264141731834,6.7557964022043056
负债占资产比率(%),94.8566979999397,94.48598746611388,94.14095983176608,93.50773585822573,93.24420359775584
长期资金占不动产及设备比率(%),1065.6466794974058,1090.9178327628215,1052.1507284876955,1345.1723528020123,1317.6150494517378
流动比率(%),50.0,50.0,50.0,50.0,50.0
速动比率(%),-50.0,-50.0,-50.0,-50.0,-50.0
应收款项周转率(次/年),0.4,0.4,0.4,0.4,0.4
应收款项周转天数(天),1.592427124306798e-08,1.3359805540360347e-08,1.2317167051367425e-08,1.1312750412266278e-08,1.0954735640761434e-08
存货周转率(次/年),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
存货周转天数(天),240.0,240.0,240.0,240.0,240.0
固定资产周转率(次/年),5.601337957680706,5.758414359893321,5.1950764303950345,5.596640871825832,5.109219526966013
完整生意周期(天),180.00000001592426,180.0000000133598,180.00000001231717,180.00000001131275,180.00000001095472
应付款项周转天数(天),360.0,360.0,360.0,360.0,360.0
缺钱天数(天),-179.99999998407574,-179.9999999866402,-179.99999998768283,-179.99999998868725,-179.99999998904528
总资产周转率(次/年),6.326497109432688e-13,5.675248114751906e-13,5.164979784267791e-13,4.569507811458322e-13,4.1108600289149443e-13
ROA=资产收益率(%),0.9813029666441042,1.022849967721736,0.9788669687144317,0.9027519632317061,0.8194177295636158
ROE=净资产收益率(%),19.29929484794054,19.161377433211275,17.19103620613827,14.56067747386485,12.36266206879886
税前纯益占实收资本比率(%),232.50982591437284,269.5451992959522,235.86936175969782,245.58300577900215,204.7336816497907
毛利率(%),99.99999999557659,99.99999999628895,99.99999999657857,99.99999999685757,99.99999999695703
营业利润率(%),45.693811650247845,44.330432522881814,42.6550337859438,41.03857333583096,39.73678204580089
净利率(%),34.30574600711493,33.442191007488134,32.4215208274327,31.040930158990637,30.32788132323579
营业费用率(%),38.934843193724625,38.26470970555982,35.24249422914648,34.70186189276924,33.28718144034558
经营安全边际率(%),22.84690582562923,22.165216261852187,21.327516893336753,20.519286668237882,19.86839102320274
EPS=基本每股收益(元),1.7418304321457798,2.0239191463196047,1.7735354668001557,1.8487740967762705,1.5544724322268992
营收增长率(%),14.7874993707658,19.195381958703166,8.464921230800556,8.878624581149964,3.2681278953057102
净利增长率(%),21.22080015098733,16.19495840911644,5.154524768065556,4.2422963220640355,0.895930345166235
净资本增长率(%),15.117745003445876,18.69354444810223,15.954122957953018,29.213264856833348,10.802559928151993
现金流量比率(%),4036550000000.0,644100000000.0,80300000000.0,6995600000000.0,-4391400000000.0
现金流量允当比率(%),1282.9966924877215,1263.3196608254289,946.658130846229,1078.8605004260112,441.8471414532182
现金再投资比率(%),4.609234253763861,0.45964956243935584,-0.19989072574349054,5.736015295590523,-3.6951254460586918
