,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),11.190956173846017,16.17166625295325,19.69257939801232,22.360042651669655,13.916703923364965
应收款项(占总资产%),19.7049738749896,21.186599485270396,17.492225945187805,14.15554037053889,10.96529918976569
存货(占总资产%),22.195650629430155,20.76289892103331,20.157612603334158,11.102872577761568,12.922364423102103
流动资产(占总资产%),53.35432235676484,58.88662068538788,57.492204194398596,60.178828381187714,52.999545633841606
非流动资产(占总资产%),46.64567759665826,41.11337927283701,42.50779575998314,39.821171609865864,47.00045435702184
应付款项(占总资产%),22.345043085696506,16.1188900699607,14.955628119043041,13.205168511792403,12.206234536087052
流动负债(占总资产%),39.21701224776331,45.48397128444075,39.670389863726854,41.46310067269351,40.1303073812398
非流动负债(占总资产%),4.775254498588904,4.387525992639796,4.713107576180128,22.453771716829845,22.750129214882474
股东权益(占总资产%),56.00773320707088,50.12850268114434,55.61650251447476,36.083127601530215,37.11956339474117
负债占资产比率(%),43.99226674635221,49.87149727708054,44.383497439906975,63.91687238952336,62.88043659612228
长期资金占不动产及设备比率(%),171.45101303742643,175.60088255562874,183.54474242089302,527.8875806612277,517.5496244273463
流动比率(%),136.04892171876367,129.46675272272688,144.92472679441755,145.1382732884596,132.06862613405107
速动比率(%),76.95296747874022,81.74798332905807,92.63666775923677,103.07079183720876,78.03784135713212
应收款项周转率(次/年),1.968903920127287,2.1064740821838845,2.0516143455753193,5.396688089339369,3.0646955666653635
应收款项周转天数(天),182.8428475073442,170.90169885799065,175.4715743619833,66.70757949864348,117.46680606775244
存货周转率(次/年),2.21366868857776,1.7298618783008675,1.7879397518609432,5.90068621167624,2.882880767335362
存货周转天数(天),162.62596171509992,208.10910046186075,201.34906616815033,61.009853233250674,124.87509157381743
固定资产周转率(次/年),1.2294033135328646,1.3196923839336239,1.2804518477751299,12.24446455152162,10.790855263718194
完整生意周期(天),345.4688091379013,379.01079919627955,376.82064041018896,127.7174327257504,242.34189762525745
应付款项周转天数(天),160.91569300689653,185.03143706764965,153.0540802762959,65.39475198176602,132.23981287310667
缺钱天数(天),184.55311613100477,193.9793621286299,223.76656013389305,62.32268074398438,110.10208475215077
总资产周转率(次/年),0.4038407072185757,0.4315333076480094,0.39843670737634407,0.793454688731143,0.3854526462162425
ROA=资产收益率(%),-7.922656129814279,0.5191008951002549,1.0464774517782438,-0.6005232717755313,0.3851253373880069
ROE=净资产收益率(%),-13.98514672843803,0.9811321891388619,1.9837745310421082,-1.5286007320499713,1.0523730069470194
税前纯益占实收资本比率(%),-37.50511887969839,2.4633831665598893,5.015381720110885,-2.231956578481444,9.375025141599886
毛利率(%),-4.412380332419485,14.053382077809559,8.127189595342443,6.390615144055928,10.22666370175532
营业利润率(%),-19.96662362452942,1.0597974642448473,4.778955285555346,-0.8259397526568769,1.4148906905634817
净利率(%),-19.618270222881176,1.2029219653974863,2.626458434323763,-0.7568463331190889,0.9991508453197129
营业费用率(%),13.818320958353558,13.558442477293447,15.675591792604267,7.757376528268846,10.488382034401512
经营安全边际率(%),-20.888294628494965,0.9292117821826904,4.419753536034936,-0.7763276408718297,1.2836192651097633
EPS=基本每股收益(元),-0.37772315786983296,0.024633831665598894,0.05015381720110885,-0.054525345677337994,0.05786090037604678
营收增长率(%),-11.558496500469033,6.360804619080923,-6.752124498872021,480.58320135552503,-19.617148043695394
净利增长率(%),85.58896701364787,-106.52166309866601,103.59728696050001,-267.3021902971194,-206.11744152851622
净资本增长率(%),-12.983109366912572,-0.20936303330580586,1.6009498026298843,230.8188502894497,0.7315196066232517
现金流量比率(%),-6.416360011389399,-10.297247762535983,9.579622850086468,-15.149400469024643,-24.01068436502734
现金流量允当比率(%),-51.80861932603833,-93.75613679842478,-57.406643276714206,-42.34978005313709,-71.81752317833896
现金再投资比率(%),-5.32407213636157,-10.159670042676476,4.281607777590743,-13.979811977194373,-19.30750617822446
