,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),39.98610646667047,25.533464440361193,29.283994327543013,19.629556558950032,19.523502476424692
应收款项(占总资产%),4.4789900172666846,9.42448465508858,5.797253212360461,14.355501632519038,8.072923501197305
存货(占总资产%),6.914315736736221,7.709888876734346,11.365405719658405,15.843140603795531,8.94279984164013
流动资产(占总资产%),71.19141100089283,77.03347859546406,80.69727196171745,76.05810743118849,66.51336839586966
非流动资产(占总资产%),28.808588906717635,22.9665213212708,19.302727965642465,23.94189249896295,33.48663150976003
应付款项(占总资产%),16.50656455480802,14.637913957043958,18.798491265587348,20.58056204460252,15.217958958179773
流动负债(占总资产%),22.944095601460624,24.40999458268084,29.305104618335076,29.94325153523336,19.79612378904857
非流动负债(占总资产%),0.9092084027912164,0.773787234424048,0.623071834957609,0.5449665619530363,0.672250532886743
股东权益(占总资产%),76.14669590335863,74.81621809962998,70.07182347406723,69.51178183296503,79.53162558369439
负债占资产比率(%),23.85330400425184,25.18378181710489,29.928176453292686,30.488218097186397,20.468374321935315
长期资金占不动产及设备比率(%),814.4531607530212,870.7985404725807,961.4695152602578,902.730247863296,926.9030717295923
流动比率(%),310.28205230147614,315.5817100727691,275.36933518128353,254.0075087178575,335.9918779432418
速动比率(%),278.34415958103193,282.40228352948026,232.1346116187391,186.2877475462649,288.1716424128129
应收款项周转率(次/年),38.88398314756222,19.828304760333943,19.811674277294685,22.36015071278546,11.13020113416713
应收款项周转天数(天),9.258310629562075,18.155863645426034,18.171104213990326,16.10007031033155,32.34442883838053
存货周转率(次/年),18.87993246218344,17.067948874026055,14.136558429876251,15.737984435869754,10.003157181462367
存货周转天数(天),19.06786466422744,21.092165226236514,25.465886922765378,22.87459366019958,35.988637610911034
固定资产周转率(次/年),13.053727918809617,15.374126058027088,18.88685393708815,28.71173105846604,17.66616841972045
完整生意周期(天),28.326175285952896,39.248028864281835,43.63699112952272,38.97466396673899,68.33306643810405
应付款项周转天数(天),42.754338379578876,44.65280853960827,44.43644079314623,33.02936410318639,51.02036925416608
缺钱天数(天),-14.42816309362598,-5.404779675326438,-0.7994496636235127,5.945299863552599,17.312697183937978
总资产周转率(次/年),1.3197419727023891,1.4038805049963547,1.4833535163544775,2.271838445699185,1.3003726610250466
ROA=资产收益率(%),6.710152841343586,6.512538557133758,4.731655268548387,2.194020670007312,-12.25909871794948
ROE=净资产收益率(%),8.601919493747019,8.63194968818591,6.546072457327204,3.1439124055618413,-16.617188171611915
税前纯益占实收资本比率(%),9.04428784239025,10.1838983786668,8.22750750100585,4.76066540525955,-19.905241544394215
毛利率(%),8.98945062820138,10.850486157690895,7.917836931276769,5.453601852627705,0.7035636582941058
营业利润率(%),3.4102787875225125,3.869716648781243,2.0700726560299065,0.5691972198829869,-9.500796248777817
净利率(%),5.084443001069147,4.638955046311004,3.1898365520459318,0.9657467825113332,-9.4273734582499
营业费用率(%),6.340776886543602,7.33542112775401,6.005526201100248,4.1826821318976215,10.67557664151938
经营安全边际率(%),3.1289989699609437,3.490933403103311,1.9181932430207538,0.5397608141241537,-9.434419104586787
EPS=基本每股收益(元),0.0884980724498723,0.09681281366300414,0.0794041061726509,0.04011399449203907,-0.19883715747547243
营收增长率(%),24.408727674667446,19.90084654143358,19.27841314876777,66.86225536811264,-49.222163438443765
净利增长率(%),-0.7985858571295523,9.395390835684438,-17.981822756330843,-49.48120976638012,-595.6802570752789
净资本增长率(%),9.009699556954104,9.019498611740644,7.3580176175801455,3.165362830232226,-15.315566006694013
现金流量比率(%),37.254810809670275,-40.081057259145034,23.17726503294148,-46.40939013444631,21.96636333583241
现金流量允当比率(%),332.51929438093373,-65.40783125093228,59.99527108420912,-47.43775286480335,-80.53070277161201
现金再投资比率(%),11.084343076278245,-12.97749169102452,9.53470155062323,-19.907247333612606,5.3293960247654235
