,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),8.377187959967596,7.633811092681651,10.968649637240965,9.659472636320396,10.108072118924225
应收款项(占总资产%),8.72853769137266,4.906127891110375,4.042009658542611,3.533510289884815,3.4062790260407443
存货(占总资产%),56.90976561714142,60.62359952700335,59.513297874150595,48.49677575189422,49.34481354771829
流动资产(占总资产%),89.6337716187994,88.4110744518129,86.30022466196924,84.71840005480385,85.45621265763059
非流动资产(占总资产%),10.366228379951302,11.588925547117851,13.699775337025056,15.28159994440516,14.543787341798955
应付款项(占总资产%),11.376423376449752,14.43146500351208,12.06308613753157,13.403925245131099,9.678904555476104
流动负债(占总资产%),61.30523225766162,57.15823768416063,54.166212171866675,51.30257249895035,47.837860979978416
非流动负债(占总资产%),18.262924065906972,19.126361428131272,19.011910139516743,22.88825194454241,27.21154470400809
股东权益(占总资产%),20.431843675182108,23.715400886638847,26.821877687610872,25.80917555571626,24.950594315443027
负债占资产比率(%),79.5681563235686,76.2845991122919,73.17812231138343,74.19082444349276,75.0494056839865
长期资金占不动产及设备比率(%),3539.1767615931144,3348.2201103341254,4024.1181988486032,4992.9189402653865,6627.34012168594
流动比率(%),146.20900747957094,154.67774730685755,159.32482852325097,165.13479914721822,178.6371942766787
速动比率(%),38.00617533988036,29.68347307925804,34.439795626326294,48.657184239208156,53.31050211787183
应收款项周转率(次/年),20.012048054619303,20.893879538359137,29.76224717824532,34.31197623566915,41.88464772421103
应收款项周转天数(天),17.989163276973223,17.229926079787948,12.095860833334749,10.491963432315117,8.595034685125693
存货周转率(次/年),2.2993469027032436,2.166803409383746,1.9976852613695895,2.2229063191301304,2.7677225057805592
存货周转天数(天),156.56619693634764,166.14336050783714,180.2085678644524,161.9501446811054,130.07084317333198
固定资产周转率(次/年),139.87096861132937,129.94809178536954,119.67261749274614,124.71205864173194,160.4409420141691
完整生意周期(天),174.55536021247948,183.37328658687522,192.3044286970086,172.44210811281584,138.6658778581397
应付款项周转天数(天),35.24826372021393,36.726870345751415,39.644959362726055,38.89962781843766,29.84237310706624
缺钱天数(天),139.30709649226554,146.6464162411238,152.65946933428256,133.54248029437818,108.82350475107347
总资产周转率(次/年),1.4464753404268877,1.3933961819089404,1.3276453463273405,1.289229565918389,1.4490373437124344
ROA=资产收益率(%),4.806804022418479,3.888375193003718,3.6938434733836822,3.49733570295582,3.198773050936924
ROE=净资产收益率(%),23.14420086613123,17.5143256929082,14.590825086992806,13.320639709784002,12.638200928022588
税前纯益占实收资本比率(%),204.7823307632714,165.19130157710876,177.19520680634352,186.6882986898679,233.38789369040222
毛利率(%),8.843071998653706,8.390523886816343,9.641613600387481,8.018842421186394,6.428035484809437
营业利润率(%),4.431255189638067,3.809244799241793,3.850687912074016,3.5616980342973728,3.031110330003969
净利率(%),3.323115083975637,2.790574025862855,2.782251663498168,2.712733089114703,2.2075159517469944
营业费用率(%),3.0595178898431667,3.0260927242931266,3.431111916166378,3.149985358212131,2.9955920652809236
经营安全边际率(%),4.071233114123127,3.514370687256283,3.512067896144505,3.2972932818606053,2.848037470762675
EPS=基本每股收益(元),1.5157320111213708,1.1902145505241513,1.2569644012280978,1.3930204296014925,1.7020541136107736
营收增长率(%),11.956993957897083,18.47500575943377,5.924118788268487,13.664240283924698,50.14784112202051
净利增长率(%),27.037895497516317,-0.5110369828189505,5.608219988745859,10.824175119802646,22.184432978253767
净资本增长率(%),26.23528409035262,35.61517068326029,20.24510676712437,22.345391825303864,34.043304214336445
现金流量比率(%),-3.915046960953706,-0.8830353496990686,10.727100614894354,-7.463024581330919,-22.16593656189266
现金流量允当比率(%),-16.24185521098111,-15.727581842668354,7.508141353652534,8.11127882740582,-33.85385958268026
现金再投资比率(%),-15.26606140080043,-9.125449077659933,7.43724138303272,-11.251985102519454,-26.33860061292095
