,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),8.913305224102611,13.36795383952785,16.32736872409678,25.587942665892214,9.624315301132542
应收款项(占总资产%),17.288456850770476,12.351704700560338,8.566465647507233,11.54912977120928,13.038960145128748
存货(占总资产%),7.2247589830519985,15.484136616405742,17.671333842474418,15.646479938934124,20.47060188297817
流动资产(占总资产%),48.35961820707029,51.48935280906115,59.85402553365214,60.32647700092457,49.478186814510686
非流动资产(占总资产%),51.640381752592766,48.51064715156234,40.14597442303949,39.67352295188112,50.52181312703725
应付款项(占总资产%),33.787895442406764,40.68322114403743,40.13187072452206,22.60953086311355,22.03215614202308
流动负债(占总资产%),70.27192246547138,70.80072428914362,75.55286485990521,73.08944569250465,54.54952274669833
非流动负债(占总资产%),1.8063427671560512,1.1694824388090688,1.286258389923902,0.15102175723964031,11.877459793373028
股东权益(占总资产%),27.921734727035645,28.029793232670812,23.16087670686251,26.75953250306141,33.573017401476584
负债占资产比率(%),72.07826523262742,71.97020672795269,76.83912324982913,73.2404674497443,66.42698254007135
长期资金占不动产及设备比率(%),553.4510749766285,838.0764420695598,607.5307848883068,809.5588315854084,829.5328635723264
流动比率(%),68.81783859417413,72.72433057343748,79.22138440458569,82.53787724122513,90.70324408014639
速动比率(%),48.97547924709662,42.31798673925953,45.270349751938184,53.31022083240858,44.22478355182441
应收款项周转率(次/年),6.150057570707269,9.080481018545282,9.015257833946437,7.145914005891611,3.727004540091478
应收款项周转天数(天),58.53603732945184,39.645476783988975,39.93230207842341,50.37843985555512,96.59231561027383
存货周转率(次/年),11.56614480002607,11.594149341004751,5.655529783495623,4.2210381256739025,2.461578918469842
存货周转天数(天),31.12532356490057,31.050143372187925,63.65451394524488,85.28707599399719,146.24759602718967
固定资产周转率(次/年),25.01159443511368,40.335297596933366,26.192517581911616,24.466945571775046,14.227016942601912
完整生意周期(天),89.66136088953138,70.69562015149774,103.58681600962146,135.665515822232,242.8399115503164
应付款项周转天数(天),117.25188470343763,101.49408086060767,155.69398760353727,162.10857689298084,183.62873428979668
缺钱天数(天),-27.590523813906245,-30.798460709109932,-52.10717159391581,-26.443061070748826,59.21117726051972
总资产周转率(次/年),1.0608406337798904,1.343034081321004,0.9510270743564696,0.7141457835407822,0.45524116344874943
ROA=资产收益率(%),-9.44094485867177,0.8448456105244732,-7.313408793079046,1.5182727281458788,0.39058280020903025
ROE=净资产收益率(%),-34.00251894504421,3.0198494386146453,-28.444559362181238,6.101659754022808,1.3105376272301552
税前纯益占实收资本比率(%),-54.95934575693138,5.244049192372349,-34.610192610322265,2.133937839506099,1.803525659131055
毛利率(%),-1.8371217957263117,1.5497464585394862,1.7254364466027259,1.2787376186664414,3.7437199584448293
营业利润率(%),-9.282996233910005,-0.8867305313018556,-10.575714357179582,-11.00428929082417,-3.408525905527509
净利率(%),-8.899494000389389,0.6290574617755049,-7.690011133337875,2.125998307597523,0.857968986815801
营业费用率(%),4.312208015284048,2.545048190009559,3.0134912527606974,3.1049408442673654,6.1522227868773935
经营安全边际率(%),-9.456727842262733,-0.8731981735315194,-10.396332251403944,-10.86534997331562,-3.2855250485454106
EPS=基本每股收益(元),-0.5484047464851937,0.04121318001962924,-0.34467059845911263,0.06534572313290228,0.014539370418420551
营收增长率(%),-20.976656244704444,6.318763567626377,-31.588130022187272,-31.42323660803261,-44.86596759014563
净利增长率(%),-1600.195327948426,-107.51510274662364,-936.3115441152918,-118.9588911249173,-77.75008173632048
净资本增长率(%),-28.422352229153972,2.8355193298082497,-24.87221509545722,6.024383712277427,1.2981533928910949
现金流量比率(%),-21.869332828585424,-6.733722737332037,-2.6535423863087275,-8.748819274373616,-3.6889455510830413
现金流量允当比率(%),-48.14639917618646,-91.43578688896197,-411.9319132765726,641.3266840863257,-581.7683540456984
现金再投资比率(%),-55.394392932195856,-19.27321331736248,-11.486711970770012,-24.981048370796753,-7.622978182269663
