,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),2.4536491842002164,2.5272312880132772,4.9818817964064674,3.700533423180606,4.417043437704722
应收款项(占总资产%),3.178108931522562,2.6584106172171227,2.4367564048469745,3.0300041308612617,3.738032729144548
存货(占总资产%),1.009132266835046,1.6365441086217545,0.9820741443352574,0.9190335430740503,1.533481272926979
流动资产(占总资产%),7.385784925797452,8.349791943374555,7.563436275023558,7.249959449372495,9.46469255007116
非流动资产(占总资产%),92.6142150675058,91.65020804996358,92.43656372003323,92.75004054572744,90.53530744500975
应付款项(占总资产%),7.140551563595123,5.150379994484684,5.166110993944845,7.513372312139742,7.9063570232433005
流动负债(占总资产%),37.201805301661096,33.21157086239815,31.753379945021138,39.96443815077343,48.50141570637673
非流动负债(占总资产%),47.81318644227224,47.015300940488885,46.368093251146895,38.553592265701376,34.78864308432077
股东权益(占总资产%),14.985008249369908,19.7731281904511,21.87852679888876,21.481969578625133,16.70994120438341
负债占资产比率(%),85.01499174393334,80.22687180288703,78.12147319616804,78.5180304164748,83.29005879069751
长期资金占不动产及设备比率(%),71.17706144369897,76.66416270089368,78.60910074870591,69.09473377062237,61.06463560700962
流动比率(%),19.853297076790362,25.141213513490392,23.819310847984386,18.14102683273496,19.514260380376616
速动比率(%),16.902873586533783,20.14694982694062,20.652806869660985,15.704222501477231,15.686723939892733
应收款项周转率(次/年),9.205134341871508,10.559119380494609,16.040178565389816,11.819289860754317,10.022624959068006
应收款项周转天数(天),39.10860897547013,34.093752190630916,22.44364039206324,30.458682701116764,35.91873398006066
存货周转率(次/年),17.24666345734855,16.360103485822982,24.321513463130685,27.51638502828174,27.40539034294418
存货周转天数(天),20.873602586043226,22.0047507247219,14.80171041585086,13.08311388520031,13.136101867104472
固定资产周转率(次/年),0.35096564320754575,0.3590333392586556,0.4259430663159122,0.38582710287209127,0.4075659348160187
完整生意周期(天),59.98221155815749,56.09850291195927,37.24535080654443,43.54179658508602,49.05483584620513
应付款项周转天数(天),130.8396970455289,102.12023675519538,60.56887059981768,87.34165441262805,82.6268309320714
缺钱天数(天),-70.85748548737142,-46.021733843236106,-23.32351979327325,-43.79985782754203,-33.57199508586627
总资产周转率(次/年),0.2970121543586059,0.30807085491325525,0.4060042825260757,0.3232198327076623,0.3390987095215239
ROA=资产收益率(%),2.5589884076462175,3.0694515245403444,2.80567977435303,0.49619476015057196,-4.806511396606197
ROE=净资产收益率(%),18.065399088380136,17.655418957251975,13.372015543170935,2.288786783306085,-25.164217362819258
税前纯益占实收资本比率(%),124.58687651618652,56.04213468233272,46.49813373852391,10.302492819042547,-65.44459459886876
毛利率(%),29.520820781256347,29.70715356044291,24.46947911471935,19.08911309421066,0.9440493321860942
营业利润率(%),9.658842638653173,10.690484883154244,9.225220673780036,2.216034762333107,-13.857634239994285
净利率(%),8.615769992956698,9.963459622751838,6.910468422905482,1.5351618615674614,-14.174372420031903
营业费用率(%),19.938328031834544,18.148182632190807,14.727126020822439,12.896167961901966,11.605552429051153
经营安全边际率(%),7.457366761878146,8.242016411355854,7.411632746753491,1.860820611351783,-13.728034818963584
EPS=基本每股收益(元),1.1162230915260625,0.5290293617505007,0.3356870991141157,0.06845963736823006,-0.6647697740949822
营收增长率(%),23.45638268503474,4.5249761734540925,55.103584016973485,-8.19776439238747,5.168820566750057
净利增长率(%),93.93055225071464,20.87490473993499,7.5769319121487655,-79.60611610919295,-1071.0389845125217
净资本增长率(%),13.508868846006465,32.643970951227516,49.11770661234871,-0.9478557390884959,-22.515039562032584
现金流量比率(%),31.69700995289326,33.30206206394279,43.15443178279047,21.265759755221218,9.809147939605237
现金流量允当比率(%),41.07868873380238,60.12494968303442,90.75468120421965,99.75687457202805,98.11006301949409
现金再投资比率(%),10.588406701168243,8.910648697955878,11.985040791102564,6.664081093861196,2.6112638881222687
