,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),3.6290325814637447,16.16494967277672,24.590688090171355,17.454161471026254,27.807002272645448
应收款项(占总资产%),0.0005044151920109149,0.0439841295626182,0.008290677031058503,0.05037856503142303,0.16519153748393484
存货(占总资产%),34.88538509497966,34.23307155672341,27.658002408653132,28.422405406427377,11.434033855102104
流动资产(占总资产%),44.25585892638372,53.623671482613425,56.79360975513396,50.298762517871566,51.89719272665696
非流动资产(占总资产%),55.74414103750279,46.376328487495925,43.20639021830246,49.70123745445661,48.10280724322942
应付款项(占总资产%),12.841176387206898,10.999695097731498,6.96565041185221,6.493909309831082,2.2823694634021745
流动负债(占总资产%),39.826568835692974,44.81109057947069,30.860623651113233,27.27734569807836,36.12609916903644
非流动负债(占总资产%),0.06566089291267234,4.483598335572133,22.152029132365872,29.682432731258885,15.19453391276427
股东权益(占总资产%),60.107770235280874,50.70531105506654,46.987347189957305,43.04022154299095,48.67936688808567
负债占资产比率(%),39.89222972860564,49.29468891504282,53.01265278347911,56.959778429337234,51.320633081800715
长期资金占不动产及设备比率(%),327.4501691847835,331.7139461092649,484.0484740566415,515.5011656589805,436.7732157765802
流动比率(%),111.12144525639212,119.66607095121911,184.03260526525222,184.39756941009426,143.65567796447272
速动比率(%),22.741197828965092,42.579558437554546,93.11334166867067,79.21361905424801,111.86075852121083
应收款项周转率(次/年),222.5848583029965,41.60185122616116,145.32841213827402,33.852918394867345,8.439388782533626
应收款项周转天数(天),1.6173579964058644,8.653454963927013,2.4771466920164977,10.634232978870315,42.657110405287696
存货周转率(次/年),0.046700047732237904,0.02657728420480116,0.09037279051420757,0.03068491930443227,0.04261718182137581
存货周转天数(天),7708.771465639886,13545.40180402226,3983.499856152772,11732.147332114693,8447.297037342048
固定资产周转率(次/年),0.5510120852291742,0.2905720412450424,1.3624980892405338,0.679298396229264,0.561037544034441
完整生意周期(天),7710.388729577065,13554.05501758604,3985.976982685169,11742.781380237408,8489.95400685279
应付款项周转天数(天),3007.9647617903465,4642.291271994406,1148.1918156526126,2818.571710429631,1864.2130158073703
缺钱天数(天),4702.423967786718,8911.763745591634,2837.7851670325563,8924.209669807777,6625.740991045419
总资产周转率(次/年),0.023887485647542644,0.01010671667527128,0.03645656524584105,0.009785060612462726,0.00889167987202987
ROA=资产收益率(%),0.9932114824759298,1.2982424798021097,0.7267974408025848,-5.3782146260414105,1.5895213619343544
ROE=净资产收益率(%),1.6981073244923424,2.3620164986733134,1.4912711835145773,-11.937233791020876,3.475073847660138
税前纯益占实收资本比率(%),3.3327463196526694,4.281021175848852,3.2478467961274675,-14.637394895560114,6.648430429882294
毛利率(%),39.22535685753212,9.201650970007838,23.768871989063534,12.093364617032785,2.7651428696824585
营业利润率(%),-78.100010177287,-27.592600333848043,-52.223650818101376,-680.8218916117992,410.77348234464193
净利率(%),41.578736347575564,128.4534314653454,19.93598218300853,-549.6352746354178,178.76501777539133
营业费用率(%),178.91632274139207,498.09018526076807,128.62143896274029,615.6906206334096,676.9000190605447
经营安全边际率(%),-56.096110608074035,-25.267567009061366,-42.19449525460324,-607.3703773080847,399.72063568825865
EPS=基本每股收益(元),0.021507582630220498,0.030449564717721853,0.019821966428982,-0.15221431665346044,0.04228079176656633
营收增长率(%),-48.516818212262216,-54.17367293328321,319.4437405854443,-72.1470118977114,-14.595716037609634
净利增长率(%),-114.6540013752626,41.57594628424363,-34.902301187778534,-867.9072170144921,-127.77714534955457
净资本增长率(%),1.6426783557847529,1.9194030586811408,4.274017613585144,-12.068874081496858,3.9310484197893913
现金流量比率(%),3.236863861005589,-17.16883414334823,-19.047416399573894,-16.277976422330703,-10.17049982337943
现金流量允当比率(%),9.570381241061943,-45.29835501226968,-60.30795799950586,-200.26144431709244,90.53948363822062
现金再投资比率(%),0.2895868644256492,-15.236163136190253,-10.395277925691365,-10.19053577642041,-10.279859670349682
