,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),14.478054177617123,17.688463025980294,16.752517841062744,16.91212074080394,20.648971861218886
应收款项(占总资产%),8.104442304662863,4.148661171815463,4.648488807531752,6.543241047631384,9.977728721076476
存货(占总资产%),3.966604160698417,4.279553667549128,4.006412990050501,4.153376569047336,3.852219471631818
流动资产(占总资产%),26.450978710104767,24.544054897716087,24.77409740613556,26.840677044858747,37.622304656167124
非流动资产(占总资产%),73.54902128882105,75.45594510130594,75.2259025929191,73.15932295422813,62.37769534301416
应付款项(占总资产%),4.1382553964167315,3.9362603352943144,3.6906808079730826,3.9988253116322787,4.082344436587655
流动负债(占总资产%),15.624261956037767,14.079778274112744,19.28709914585472,15.568059784996258,17.28660236367603
非流动负债(占总资产%),21.251501536748123,17.842830641429238,10.840903921909646,11.109184414471192,7.420977990523568
股东权益(占总资产%),63.12423650613993,68.07739108348005,69.87199693129028,73.32275579961943,75.29241964498168
负债占资产比率(%),36.875763492785886,31.922608915541982,30.128003067764368,26.67724419946745,24.707580354199603
长期资金占不动产及设备比率(%),138.70845212551865,140.2498323409644,132.726085396553,142.5827787641945,159.44780148422052
流动比率(%),169.29426031585868,174.32131684302368,128.4490592264407,172.40862004623202,217.63851486189228
速动比率(%),138.91140291674444,140.2202955306167,105.50876027528567,142.3217108159279,191.5562463084464
应收款项周转率(次/年),6.931691702259412,10.309476217937823,11.130903574811589,9.257942396444285,7.782926318648918
应收款项周转天数(天),51.93537385016186,34.919329784878485,32.34238779754478,38.88553034225354,46.25509547919147
存货周转率(次/年),9.576250094913135,9.980418461471995,8.564613051209417,8.5971989028165,10.566054496951976
存货周转天数(天),37.59300314637811,36.07063184180523,42.03342261942494,41.87410388240806,34.07137451934071
固定资产周转率(次/年),1.0724708051590408,1.0612745961494305,0.8262518078059016,0.8981001485694821,1.2621720592038703
完整生意周期(天),89.5283769960322,70.98996162623578,74.37581041639999,80.75963422410726,80.32646999818371
应付款项周转天数(天),43.780652030239246,35.2157450666087,38.690790948214236,39.4758105050893,34.483104069556575
缺钱天数(天),45.74772496579295,35.774216559627085,35.68501946818575,41.28382371901796,45.843365928627136
总资产周转率(次/年),0.6119177022814585,0.6220553315625931,0.4900729323711172,0.5195825986981327,0.6501933072068489
ROA=资产收益率(%),10.864314474163713,11.863567447034807,7.3333529609922925,8.314750750211836,14.183689485822423
ROE=净资产收益率(%),17.848536575459047,18.052529792099328,10.629601787661445,11.60835582987556,19.074026865617533
税前纯益占实收资本比率(%),238.35714302616776,280.8446909064777,189.44751094020376,219.90074756214432,400.5952808227833
毛利率(%),33.01310325485225,33.73054078907445,27.636870052166117,32.47152639061671,35.08538289425278
营业利润率(%),21.249226965817336,22.751513651219195,17.00114123587389,19.238137517791955,27.65246476304443
净利率(%),17.75453534594747,19.071563002343307,14.963799215287226,16.002750613466723,21.814573186804225
营业费用率(%),10.94570705521777,10.42023977833058,13.441984047286573,12.080530085741609,9.623106291646447
经营安全边际率(%),15.975288483499218,17.012952700986876,13.319929601004318,14.522469878594713,20.47036042729454
EPS=基本每股收益(元),1.8514613490894494,2.1866265622824654,1.43942557739362,1.6890227513674072,3.1001690594161166
营收增长率(%),20.747784465942146,9.946901117723002,-16.10056991076266,9.721950430432585,34.647345200834394
净利增长率(%),51.82768618708235,18.102738851933694,-34.17140347152447,17.340054093266104,83.54809350909596
净资本增长率(%),14.829364738786737,18.456612207270126,6.177636996986209,8.641679119697358,14.527415129221069
现金流量比率(%),104.4909258216014,122.6260825890966,48.564334087689126,77.40382979121317,82.23348366391157
现金流量允当比率(%),97.82080426594672,115.3142665424462,129.22526846026307,137.33920411566584,156.76964085788433
现金再投资比率(%),15.880362967614966,16.413790231890165,5.887118030049739,10.41705301895932,13.744302977439297
