,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),16.14593737693109,18.631080554027736,19.41733608352909,29.753045444531622,20.369980805076914
应收款项(占总资产%),12.503568683597146,12.136873564629305,13.62662525990367,15.018437714759461,16.450870650062033
存货(占总资产%),14.489460163114801,14.154939297510907,13.009909342514426,10.204757002054908,12.444504379983162
流动资产(占总资产%),48.12654860894832,49.87288482065916,48.747788246674524,57.76320645892594,57.60847712734084
非流动资产(占总资产%),51.87345137616914,50.127115165541824,51.25221173973026,42.23679353010474,42.39152286137436
应付款项(占总资产%),14.371422993946142,15.145725473419658,14.320790050629201,13.382395857302171,13.796103032275422
流动负债(占总资产%),27.865872064045284,29.323720748366433,26.28122293244411,32.62825182403476,25.371484442754454
非流动负债(占总资产%),19.252875587985237,17.080193942722495,17.396378179562564,4.192463085666005,7.272293606679361
股东权益(占总资产%),52.88125233308696,53.59608529511206,56.32239887439812,63.179285079329915,67.35622193928138
负债占资产比率(%),47.11874765203052,46.40391469108893,43.67760111200666,36.82071490970077,32.64377804943381
长期资金占不动产及设备比率(%),192.85486427564896,184.95252894534937,185.2712552652471,208.82214767102062,230.63143167959254
流动比率(%),172.70785020699805,170.07693268245492,185.48523539701182,177.03432825952598,227.05993901026667
速动比率(%),107.76023333896173,113.43882265099379,128.02602984188772,138.84071532241066,164.4724779333125
应收款项周转率(次/年),10.396347653327938,10.391922007032305,8.726409019259666,7.138967670135454,6.590247300050443
应收款项周转天数(天),34.627545339784064,34.642292302305286,41.25408274701722,50.42745904448592,54.62617462492649
存货周转率(次/年),8.0993424462121,7.9159419553888,7.224428432834934,7.901452845067186,8.208196289975549
存货周转天数(天),44.448052686895885,45.47784733971268,49.830931697946596,45.56124131144433,43.85860024339493
固定资产周转率(次/年),3.7610782466468486,3.790572090718383,3.532046377106859,3.3440718132360274,3.7549536576263716
完整生意周期(天),79.07559802367376,80.12013963914453,91.08501444148501,95.9887003528749,98.48477486569324
应付款项周转天数(天),45.583068001664344,46.9306309820948,54.05878062245692,54.88248209791217,52.691641784803004
缺钱天数(天),33.49253002200942,33.18950865704973,37.02623381902809,41.106218254962734,45.793133080890236
总资产周转率(次/年),1.2582514019675077,1.279587980981975,1.1245976913994273,1.027791635456573,1.0362834748480505
ROA=资产收益率(%),5.089651458966053,5.0916520523573725,5.394435795140814,4.304493676170532,5.546548592182309
ROE=净资产收益率(%),9.833593150870852,9.56139804195361,9.813528049649173,7.160153813663131,8.502002193977171
税前纯益占实收资本比率(%),50.06487195563108,53.27212517586266,57.87662567371805,44.07577573222926,58.36599902296851
毛利率(%),11.794514367076344,11.437365008436124,12.773710592688872,11.9178356159602,10.42559360778049
营业利润率(%),3.947433559010291,3.783386803685208,4.958425515899085,4.3963043740588175,6.421217816091418
净利率(%),4.045019501190447,3.9791340083392615,4.796769400950043,4.188099539990752,5.352346849302172
营业费用率(%),7.805656304012827,7.448929642472955,7.585836050472514,7.294347951376559,6.1226524294919376
经营安全边际率(%),3.5309725001791468,3.3950792029215644,4.396792027006816,3.928153497485861,5.814972422877684
EPS=基本每股收益(元),0.39312946250085196,0.41229787069454815,0.45671528940302786,0.3446938852750225,0.48476163492788954
营收增长率(%),6.643338549347021,6.612359113048512,-8.108744896446012,3.092144676367198,10.04426346811033
净利增长率(%),15.400394331844367,4.875851037881702,10.773137719372897,-9.989385238111154,40.63540267728206
净资本增长率(%),6.321291414961138,9.310078905799443,6.661997343786112,39.02727236592699,3.6307002420330434
现金流量比率(%),27.548983738923777,30.76949461531795,35.548698853068316,18.96677992314406,15.253390220746082
现金流量允当比率(%),67.14165078341262,69.13598677150883,77.47835645055899,82.94422659680528,78.71468006448511
现金再投资比率(%),6.647068327649129,9.017519335656017,9.004090584969552,5.835989119435051,2.2458514067180824
