,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),0.5959939194686632,2.6180719457298824,2.6545782171162426,2.9063271651618487,2.906580010395009
应收款项(占总资产%),3.7446062223522856,3.273042841710054,2.135616955389012,2.6975905746802007,3.8780519373610516
存货(占总资产%),1.3269645496338789,1.553758039843626,0.9031566934072733,0.9806858129382081,0.888954805302398
流动资产(占总资产%),6.1489451829713095,5.983873359480878,3.802419597099163,4.978194117385412,7.285088260166369
非流动资产(占总资产%),93.85105481422009,94.01612663794,96.19758040028402,95.0218058800946,92.71491173751313
应付款项(占总资产%),4.783578582606066,5.082470494765176,3.9745114084928446,4.411047408217392,4.3103394440031115
流动负债(占总资产%),30.15843540947614,33.43437854693397,29.133791529667203,29.852315659015783,30.667241201007002
非流动负债(占总资产%),30.90965068751576,29.627645922813727,34.99362706386883,36.113348694436496,37.4067544745248
股东权益(占总资产%),38.93191390019949,36.93797552767319,35.872581403847164,34.03433564402774,31.926004322147683
负债占资产比率(%),61.068086096991905,63.062024469747705,64.12741859353604,65.96566435345228,68.0739956755318
长期资金占不动产及设备比率(%),98.6633968628134,91.60031745241221,95.05706135844355,94.336282367964,93.6462833086438
流动比率(%),20.388806975267006,17.8973667795839,13.051578243379655,16.67607355431973,23.75527753496102
速动比率(%),15.743990702642078,13.131903503978304,9.855620849492965,13.321186968315873,20.648949224537976
应收款项周转率(次/年),9.294904495466247,10.478278660341438,10.38696741427994,9.738000027904633,8.595129858922979
应收款项周转天数(天),38.73089820431245,34.35678812377821,34.65881671094724,36.968576580241816,41.88418392124798
存货周转率(次/年),20.1147030359435,19.54735688968306,18.45095755435846,21.18199135927092,25.179192520931057
存货周转天数(天),17.897355926226428,18.416812138829794,19.511182470551795,16.995569178580933,14.297519637138995
固定资产周转率(次/年),0.5646117186816476,0.5919857789730659,0.4823095903252073,0.42843796907523934,0.4184835145382761
完整生意周期(天),56.62825412956088,52.77360026173149,54.16999918038307,53.964145757730066,56.18170355765168
应付款项周转天数(天),57.26409608698151,62.945159269218536,71.85031574686474,75.66800780040687,66.79752836228961
缺钱天数(天),-0.6358419574206309,-10.171559007487048,-17.680316566481665,-21.703862042676803,-10.615824804637931
总资产周转率(次/年),0.33905669277792894,0.3666119730817498,0.2813264829379789,0.23584458865815397,0.2846831275585457
ROA=资产收益率(%),5.519351829069088,5.56355487229571,3.1677981084997406,1.5285865700130619,1.9259418954282088
ROE=净资产收益率(%),14.735081877032737,14.682479472584983,8.700556487358595,4.375373956789696,5.847398979928023
税前纯益占实收资本比率(%),63.87004453349707,43.955490250182216,26.625461415123176,13.682637520124826,17.686868360148928
毛利率(%),24.710051410361586,22.943921406033194,19.27612044643853,15.337282800735352,17.48569960370654
营业利润率(%),20.351049214606178,18.762557314832794,14.359860867458577,8.713665897881457,8.627198895358704
净利率(%),16.278551481742696,15.175595126150018,11.260220065757522,6.481329839041894,6.765212648117609
营业费用率(%),8.612086179748168,7.498906711252349,8.639159481331268,8.22293264687588,8.487090277068505
经营安全边际率(%),16.31869202558544,15.261069518734308,12.039174994719026,7.554942934571979,7.343190638911194
EPS=基本每股收益(元),0.5109552149988622,0.3562536471941771,0.20996255482119783,0.10251211508209948,0.1372505000379234
营收增长率(%),9.871212509923978,12.18576869303891,-20.570581616755703,-15.176517213197982,28.268912455028612
净利增长率(%),6.3137871733601685,4.584600526355942,-41.0637459087462,-51.176001318268014,33.88710173180098
净资本增长率(%),6.70696724802653,3.321465552617525,-4.283439698714915,-1.479349202331079,1.8689895630599835
现金流量比率(%),45.47130717485568,33.50623499504407,26.921218358923472,18.080719164253008,25.148950406503012
现金流量允当比率(%),92.03721365453245,89.68640524318813,86.2462713419455,85.20260784836971,88.2123737246847
现金再投资比率(%),10.17228341564333,6.05414465497613,1.2634749332066197,1.1043001716664977,6.390000455655997
