,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),9.613016436634243,8.252171240742236,9.268209984216746,10.248020848308602,5.2311887878403045
应收款项(占总资产%),1.4824906907066873,1.312724157584392,1.1265072536766996,0.8872735220269145,1.263075868881252
存货(占总资产%),32.67012613040284,31.073179958484094,29.217869559318725,27.332226869196134,26.635615718700134
流动资产(占总资产%),53.403592613698706,49.090142690703495,51.77064887940988,57.00703007689481,58.74115983969258
非流动资产(占总资产%),46.596407359245916,50.9098572846597,48.22935109848145,42.99296990274219,41.258840141456446
应付款项(占总资产%),9.370630795832614,9.944089631089813,6.959222887531388,5.8340088112845025,5.766464540191736
流动负债(占总资产%),31.917220957699843,20.4995672976807,16.09637228639653,17.41100581088023,17.12299282100925
非流动负债(占总资产%),3.560621518017668,15.135892761030837,22.030603960321365,19.685542188584428,17.838178279437976
股东权益(占总资产%),64.52215749722711,64.36453991665168,61.87302373117345,62.90345198017234,65.0388288807018
负债占资产比率(%),35.47784247571751,35.63546005871153,38.126976246717895,37.096547999464654,34.96117110044723
长期资金占不动产及设备比率(%),254.64173634484908,235.9797297007277,252.3132060839496,277.9149282836597,296.8224789558514
流动比率(%),167.3190552498481,239.46916497725286,321.62929563983005,327.4195105638202,343.0542802246014
速动比率(%),45.84833797908583,61.295520826530655,136.84116873571486,162.73195425331377,186.33651328350996
应收款项周转率(次/年),48.58006496170298,48.88882179628296,52.929457568107686,66.81733093819143,65.28309416382638
应收款项周转天数(天),7.410446988006701,7.363646398207326,6.801505493468776,5.387823653275565,5.514444455423157
存货周转率(次/年),1.298268886957428,1.4023902324830082,1.3870448726290483,1.501141512967757,1.5910889665203993
存货周转天数(天),277.29232623293535,256.7045829410826,259.5445950337369,239.81749666166175,226.26013212480018
固定资产周转率(次/年),3.4618755947836517,2.245790018406337,2.162334612242394,2.5964862426303856,2.97324284918291
完整生意周期(天),284.70277313389414,264.06822926514485,266.3461004547572,245.20532025496425,231.77457652861028
应付款项周转天数(天),79.05999982500545,77.9829597858505,72.19162246677429,54.13156210362883,48.6482678221257
缺钱天数(天),205.6427733088887,186.08526947929437,194.15447798798294,191.07375815133543,183.12630870648456
总资产周转率(次/年),0.6447288557784242,0.681332171433177,0.6428706721578031,0.6694922555460702,0.7066371611114464
ROA=资产收益率(%),6.128386414609944,7.54677604299418,6.386856225891513,8.697579638461992,10.012198855945568
ROE=净资产收益率(%),9.634223518406252,11.7113837635237,10.129601365789561,13.936326403078592,15.641052597802494
税前纯益占实收资本比率(%),32.93312479340109,43.184564850753674,42.56884736093699,61.03939101035824,76.46866195345046
毛利率(%),31.293097172408686,34.475275448822316,35.06686691468608,36.68832320587223,39.272297791842306
营业利润率(%),10.967572097044389,12.218027015227745,10.904464389238436,14.799974127220983,16.92898493422313
净利率(%),9.505370136671061,11.076500357032927,9.934900595385209,12.991307313351482,14.168797516145013
营业费用率(%),19.180998730331485,20.913671729826532,24.029409145464566,21.771672483537962,23.130673441022985
经营安全边际率(%),8.353502456143772,9.08570514129759,8.073382198260477,10.82753360353254,12.155313872630543
EPS=基本每股收益(元),0.2766034621067373,0.3673312271591838,0.3440244933328778,0.5149948317188479,0.6419541684342268
营收增长率(%),32.140461076770066,13.963743052853488,4.416841907304729,14.478564888686591,14.293363814408849
净利增长率(%),80.0068835304898,32.80066080677631,-6.344882568842067,49.69714070370745,24.65254548805956
净资本增长率(%),8.917988389619296,9.548698199866365,7.1214690584992155,10.380823019889874,11.68788663312914
现金流量比率(%),11.449285914394665,40.25660528800882,54.109612061915556,79.13970759360288,71.62734627457856
现金流量允当比率(%),48.931204079559755,62.07255847357954,71.40021080886268,93.92183466009321,103.38170876732909
现金再投资比率(%),2.43231382597466,7.360315109190867,6.955322769735095,12.595736958917032,10.103120610948569
