,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),5.8320630990749995,16.105394956701936,16.91629376806674,6.232053129462515,13.498537526301021
应收款项(占总资产%),13.122376374029646,12.40305538473863,10.0634449479657,11.057690261413688,18.062893639314627
存货(占总资产%),31.472630424491232,24.840631643504416,23.43477962554629,25.505042709027396,20.670115927928375
流动资产(占总资产%),53.16658802330615,54.86643959715746,51.51425021148812,49.51508814603747,55.625987560595505
非流动资产(占总资产%),46.83341197248359,45.13356039884255,48.485749784092235,50.4849118491576,44.374012435070604
应付款项(占总资产%),19.817931574277917,21.966300085251174,15.319101972352547,22.860035685856115,24.389987927600387
流动负债(占总资产%),63.07895602878651,62.974433860428334,68.8528139449223,69.94586449863334,66.63031521755138
非流动负债(占总资产%),13.303006165518582,14.224824329765093,11.53186155102175,7.783684761096052,2.1690964457791617
股东权益(占总资产%),23.618037801484647,22.800741805806584,19.61532449963631,22.270450735465676,31.20058833233556
负债占资产比率(%),76.38196219430507,77.19925819019342,80.38467549594405,77.7295492597294,68.79941166333055
长期资金占不动产及设备比率(%),79.0233956530404,82.31070196532066,65.26343990426847,60.362297926377984,75.68171340121081
流动比率(%),84.28577669467859,87.12494298126475,74.81793009852791,70.79058711698887,83.48450307544798
速动比率(%),30.190105623745744,46.2270138258107,40.13894771078709,25.247706084701477,47.616359239453665
应收款项周转率(次/年),10.409465994196424,11.457481197122972,9.635786693754381,11.642052348742153,12.847832859082926
应收款项周转天数(天),34.583906623076764,31.42051850125574,37.36072739680964,30.92238285174483,28.02028979394623
存货周转率(次/年),5.080709125152011,4.910888234650195,4.367164928338747,4.7567387196783315,7.507980078777479
存货周转天数(天),70.85625079117192,73.30649421590451,82.43334196643501,75.6821051510862,47.94898177435461
固定资产周转率(次/年),3.4497521680249603,3.2966074430564127,2.452218611381516,2.6413624790994144,4.251351643585286
完整生意周期(天),105.4401574132377,104.7270127160695,119.79406936160508,106.60448800133153,75.9692715676671
应付款项周转天数(天),39.187241542047246,54.62956107856381,64.13983493788625,58.657988989834436,49.41371168436222
缺钱天数(天),66.25291587119045,50.097451637505685,55.65423442371883,47.946499011497096,26.555559883304888
总资产周转率(次/年),1.592048419031798,1.4612303263433695,1.0880302020849513,1.2270493997646519,1.893876834737586
ROA=资产收益率(%),0.9362751693448518,0.6921871606651357,-4.994878626132586,0.9044487207205996,12.059368088018612
ROE=净资产收益率(%),3.9380091774164323,2.9837038253865127,-23.463995999569896,4.330108826540413,44.721199451859825
税前纯益占实收资本比率(%),9.267875644329056,7.65471847839509,-51.76787316519808,8.676727540998343,118.46094028598915
毛利率(%),4.899425166815248,5.656913428368085,2.9748018956718685,5.3083696397165285,8.966855647373178
营业利润率(%),0.5429987194958891,0.43470435534754714,-4.7131305974928965,0.8387587914257356,7.299411439447054
净利率(%),0.5880946572522197,0.4737016116944781,-4.590753654051428,0.7370923459643395,6.367556678731624
营业费用率(%),4.20864232107386,4.942231364239662,7.173689455021664,3.8778350682505707,1.36681870991909
经营安全边际率(%),0.5176374595307751,0.41143011019554565,-4.576974668296005,0.7964787550080938,6.698744674315118
EPS=基本每股收益(元),0.08455863187690735,0.06583667816200048,-0.4641183753436998,0.07664998801048403,1.03253602071266
营收增长率(%),-1.1467934999573117,-3.338766250632119,-27.25858800350764,2.8597382978709334,55.93449641120313
净利增长率(%),76.77623897967734,-22.140795804225647,-804.9541160794066,-116.51518064075,1247.079161075849
净资本增长率(%),3.953821203937764,1.6147787959705653,-22.1392677883386,4.431626827269653,55.32569893183842
现金流量比率(%),16.02336892913065,19.35612116820972,1.823756234623828,10.90824804827076,30.002117216480883
现金流量允当比率(%),24.045050428640717,76.69409739078446,84.58039072129394,131.61561612168376,836.0412703123513
现金再投资比率(%),20.968044015886402,25.195576783900638,-5.7149003966030385,14.745859541426942,54.251594674866034
