,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),28.797746171816314,26.064638945377165,29.65327829175875,16.221928528455877,19.579707314552255
应收款项(占总资产%),1.4961505784879332e-10,1.3119597595693938e-10,1.0840643088623427e-10,9.450281831025441e-11,8.584409424819423e-11
存货(占总资产%),7.480752892439666e-11,6.559798797846969e-11,5.420321544311714e-11,4.725140915512721e-11,4.2922047124097117e-11
流动资产(占总资产%),7.480752892439666e-11,6.559798797846969e-11,5.420321544311714e-11,4.725140915512721e-11,4.2922047124097117e-11
非流动资产(占总资产%),7.480752892439666e-11,6.559798797846969e-11,5.420321544311714e-11,4.725140915512721e-11,4.2922047124097117e-11
应付款项(占总资产%),1.4961505784879332e-10,1.3119597595693938e-10,1.0840643088623427e-10,9.450281831025441e-11,8.584409424819423e-11
流动负债(占总资产%),7.480752892439666e-11,6.559798797846969e-11,5.420321544311714e-11,4.725140915512721e-11,4.2922047124097117e-11
非流动负债(占总资产%),7.480752892439666e-11,6.559798797846969e-11,5.420321544311714e-11,4.725140915512721e-11,4.2922047124097117e-11
股东权益(占总资产%),5.857886439166929,6.30685295620199,6.331694408772286,6.793760356915033,7.584926635487697
负债占资产比率(%),94.14211356075826,93.69314704373241,93.6683055911735,93.20623964303772,92.41507336446938
长期资金占不动产及设备比率(%),1505.7653615185054,1590.2084014769061,1637.6559645572736,1646.198762899176,1523.5278899499453
流动比率(%),50.0,50.0,50.0,50.0,50.0
速动比率(%),-50.0,-50.0,-50.0,-50.0,-50.0
应收款项周转率(次/年),0.4,0.4,0.4,0.4,0.4
应收款项周转天数(天),2.381218378085316e-08,1.9963953971441455e-08,1.6781260924908955e-08,1.5278838807926348e-08,1.4412971674218538e-08
存货周转率(次/年),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
存货周转天数(天),240.0,240.0,240.0,240.0,240.0
固定资产周转率(次/年),5.814266503177096,5.965100892165878,6.015000700124071,5.3954659943444625,4.30683679590423
完整生意周期(天),180.0000000238122,180.00000001996395,180.00000001678126,180.00000001527883,180.00000001441296
应付款项周转天数(天),360.0,360.0,360.0,360.0,360.0
缺钱天数(天),-179.9999999761878,-179.99999998003605,-179.99999998321874,-179.99999998472117,-179.99999998558704
总资产周转率(次/年),8.140893562408486e-13,6.990072030400582e-13,5.935870047182469e-13,5.048913877645366e-13,4.4982798577813723e-13
ROA=资产收益率(%),1.096161223470285,1.093666669876475,1.0021529400658162,0.9049168342903791,0.8493652027462786
ROE=净资产收益率(%),17.95354837572523,17.937506808434094,15.855708637309442,13.755549842038137,11.783096666661102
税前纯益占实收资本比率(%),191.14722911956744,187.97348483068433,166.3904671585866,146.63948440440356,107.93170315906298
毛利率(%),99.9999999933855,99.99999999445446,99.99999999533854,99.99999999575587,99.99999999599639
营业利润率(%),55.46003452186359,54.959101620547365,49.02925066894233,47.387742974972674,45.771194073750955
净利率(%),44.53168081922208,43.382781088496245,39.34972613822749,38.03369832700888,37.798018215638116
营业费用率(%),25.867869769782224,25.2072646658753,25.670667758404132,25.988880404337728,27.068361528834583
经营安全边际率(%),27.730017261848893,27.479550811035626,24.51462533504254,23.693871487989135,22.8855970373336
EPS=基本每股收益(元),1.53007172579475,1.4816287877384822,1.3323074493898115,1.1786794685532895,0.8930615333257786
营收增长率(%),10.776005562618082,19.275890007842932,18.965756270096605,9.833352753529127,6.007554534716746
净利增长率(%),15.24344620231959,16.198619273122276,7.906174095110188,6.160042640161095,5.350666735181008
净资本增长率(%),9.227686027660042,22.779694272089472,21.49900149648964,23.083705719151098,22.9066831726267
现金流量比率(%),1042110100000.0,6224350000000.0,1820950000000.0,-264650000000.0,627250000000.0
现金流量允当比率(%),704.251951068493,920.5429147745436,756.0043588530452,384.9340265684403,309.3098904652456
现金再投资比率(%),1.220321753990302,7.882123039527303,1.672657025360965,-0.7854601743864218,-0.16439144048543305
