,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,22.19501656926933,9.512861325886524,12.007392581235196,
应收款项(占总资产%),,21.485167522797344,30.608081551412152,30.788876793622862,
存货(占总资产%),,35.59562568570345,31.31234490199009,30.34393330684337,
流动资产(占总资产%),,84.82990079269011,83.25213966441687,82.89835450782358,
非流动资产(占总资产%),,15.170099195874693,16.747860323615914,17.101645479474232,
应付款项(占总资产%),,34.15749728391126,38.264002806631495,35.72999104694913,
流动负债(占总资产%),,53.28893477209904,51.42237740885306,53.41904587115162,
非流动负债(占总资产%),,5.946580432117205,4.135927628156602,2.0834769131661766,
股东权益(占总资产%),,40.76448478434855,44.44169495102313,44.49747720298002,
负债占资产比率(%),,59.23551520421624,55.55830503700966,55.50252278431779,
长期资金占不动产及设备比率(%),,372.6402665031036,383.2642127363422,366.80523259852407,
流动比率(%),,159.18858415406288,161.89865937763733,155.1850152622813,
速动比率(%),,84.64308530602106,93.80539387147277,92.38753031163813,
应收款项周转率(次/年),,,2.3175157624002334,1.6393264320294962,
应收款项周转天数(天),,,155.33874922860457,219.60238839917037,
存货周转率(次/年),,,1.5141399364687984,1.4556588042000815,
存货周转天数(天),,,237.75873763374923,247.31070140883529,
固定资产周转率(次/年),,5.864075096133789,5.068533525278276,4.090834476054886,
完整生意周期(天),,,393.09748683494644,466.913089774063,
应付款项周转天数(天),,,256.6459562083379,296.9626159584751,
缺钱天数(天),,,136.45153062660853,169.95047381558788,
总资产周转率(次/年),,,0.6012315323145716,0.5032041321356583,
ROA=资产收益率(%),,,3.0718786088651457,-1.1253330566294732,
ROE=净资产收益率(%),,,7.217540447090778,-2.5306151561530337,
税前纯益占实收资本比率(%),,56.1452129868244,26.848974536927294,-8.314010897563627,
毛利率(%),,15.1759752339446,15.626962746427091,10.779246765841247,
营业利润率(%),,6.83675445352563,5.474665992753444,-2.473935390724294,
净利率(%),,5.850723503324099,5.109310545376318,-2.2363350864744005,
营业费用率(%),,7.259082977498969,9.280471197702129,10.922913607053783,
经营安全边际率(%),,5.935920611602259,4.734765890858456,-2.233211962483871,
EPS=基本每股收益(元),,0.4723256959580186,0.22741331581176338,-0.07905990542072736,
营收增长率(%),,,-17.2986020866973,-20.573427415976553,
净利增长率(%),,,-27.77865452775322,-134.76485307710527,
净资本增长率(%),,,4.17419518162481,-5.668044936898582,
现金流量比率(%),,-3.645957302237911,0.677317304782411,5.069974575407468,
现金流量允当比率(%),,,,,
现金再投资比率(%),,-5.195390838769151,-3.544004809465047,2.0197774082303983,
