,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),17.267682286639673,19.824254707600886,20.805622645535898,19.84836386789947,20.691228732146065
应收款项(占总资产%),5.951828282610081e-11,4.992622152612729e-11,4.197131722151518e-11,3.586219806942386e-11,3.080204679600485e-11
存货(占总资产%),2.975914141305041e-11,2.4963110763063645e-11,2.098565861075759e-11,1.793109903471193e-11,1.5401023398002426e-11
流动资产(占总资产%),2.975914141305041e-11,2.4963110763063645e-11,2.098565861075759e-11,1.793109903471193e-11,1.5401023398002426e-11
非流动资产(占总资产%),2.975914141305041e-11,2.4963110763063645e-11,2.098565861075759e-11,1.793109903471193e-11,1.5401023398002426e-11
应付款项(占总资产%),0.07790943224912511,0.06792462441125928,0.09936709354292284,0.4008138567408469,0.0842127959556783
流动负债(占总资产%),2.975914141305041e-11,2.4963110763063645e-11,2.098565861075759e-11,1.793109903471193e-11,1.5401023398002426e-11
非流动负债(占总资产%),2.975914141305041e-11,2.4963110763063645e-11,2.098565861075759e-11,1.793109903471193e-11,1.5401023398002426e-11
股东权益(占总资产%),7.133414992415248,8.832347997744124,8.679059817309625,8.722780367525,9.054523473083393
负债占资产比率(%),92.86658500755499,91.16765200223091,91.32094018266939,91.27721963245708,90.9454765269012
长期资金占不动产及设备比率(%),1423.3418440609212,1339.8061192093526,1280.7624414312877,1345.7852656116038,1366.073378627734
流动比率(%),50.0,50.0,50.0,50.0,50.0
速动比率(%),-50.0,-50.0,-50.0,-50.0,-50.0
应收款项周转率(次/年),0.4,0.4,0.4,0.4,0.4
应收款项周转天数(天),2.428617206070097e-09,1.9667456096447927e-09,1.5852675799534432e-09,1.2967715790872228e-09,1.050047908434291e-09
存货周转率(次/年),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
存货周转天数(天),240.0,240.0,240.0,240.0,240.0
固定资产周转率(次/年),17.60376462100803,13.862730990083962,14.065281347308375,15.360195866451983,15.932406998258884
完整生意周期(天),180.0000000024286,180.00000000196675,180.00000000158528,180.00000000129677,180.00000000105004
应付款项周转天数(天),560970000180.0,480510000180.0,671040000180.0,2437920000180.0,2503890000180.0
缺钱天数(天),-560970000000.0,-480510000000.0,-671040000000.0,-2437920000000.0,-2503890000000.0
总资产周转率(次/年),3.223426315213827e-13,2.7150956467103e-13,2.280223507507946e-13,1.9338503288800692e-13,1.657003848722702e-13
ROA=资产收益率(%),1.1608847531611077,1.3013453434682467,1.486204077723529,1.3994888060039286,1.6566393078759831
ROE=净资产收益率(%),16.02923307678127,16.151071318426556,16.98699613100432,16.081206001546523,18.611326739733492
税前纯益占实收资本比率(%),583.9312783496803,701.2258208838028,511.0120349829862,516.47155358225,737.0897154957828
毛利率(%),99.99999999932538,99.99999999945368,99.99999999955965,99.99999999963978,99.99999999970832
营业利润率(%),15.630512876678088,17.02901222928695,20.464703576935094,16.816245666141086,19.65310500622058
净利率(%),12.147808341584511,13.092516259760407,14.350634767528545,13.033995227136685,14.580790248533827
营业费用率(%),24.410976001131967,25.305187018863535,26.48189492356262,23.41339096794378,20.372096143815185
经营安全边际率(%),7.815256438365405,8.514506114666732,10.232351788490076,8.408122833085686,9.826552503124622
EPS=基本每股收益(元),4.549519959000818,5.390238415948017,3.5655361048377716,3.958862144203563,5.469256017206277
营收增长率(%),-0.9710326954392059,23.484053766469955,24.06395201106824,22.247248899951472,23.49642036989779
净利增长率(%),34.63177569590161,33.08713277800058,35.985812640601154,11.031329588035362,38.15222197465519
净资本增长率(%),14.33634312534599,47.604764188700244,16.888721821181377,17.62454330666894,20.85593706356552
现金流量比率(%),10856900000000.0,8513000000000.0,6780900000000.0,11391050000000.0,6064150000000.0
现金流量允当比率(%),1199.5817518791396,986.1476600022339,759.4239074106064,715.6023498893721,472.1282366405126
现金再投资比率(%),6.003519911248123,3.895892844350236,2.4650174317378424,3.6371979214993764,1.2920842589992094
