,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,11.219468123639869,11.987469876073625,16.174348007718248,
应收款项(占总资产%),,4.366114869773935,3.5635489351357212,2.3448203358913555,
存货(占总资产%),,34.1418526044777,32.75452352903663,27.229504468210248,
流动资产(占总资产%),,50.30927329963348,49.97371853898051,54.176908252452336,
非流动资产(占总资产%),,49.69072665451922,50.02628141986418,45.823091720519464,
应付款项(占总资产%),,12.840015161922613,10.469342042993102,8.544627847149524,
流动负债(占总资产%),,31.542001884216823,35.80510355378168,18.569668408661915,
非流动负债(占总资产%),,1.6293492838814823,1.379278755790587,2.3830028380296464,
股东权益(占总资产%),,66.82864878605439,62.815617649272426,79.04732872628024,
负债占资产比率(%),,33.17135116809831,37.184382309572264,20.952671246691562,
长期资金占不动产及设备比率(%),,175.3466484822415,175.69722803273825,291.566986196087,
流动比率(%),,159.49930321854876,139.57149546146553,291.74946467179035,
速动比率(%),,51.04185263006994,47.89003006857111,144.8554117899465,
应收款项周转率(次/年),,,10.063739765962207,12.099084017473517,
应收款项周转天数(天),,,35.771989936000224,29.754318348394982,
存货周转率(次/年),,,0.6629340339552747,0.6607620908463188,
存货周转天数(天),,,543.0404549694786,544.8254439614564,
固定资产周转率(次/年),,1.0799626362806327,1.1370939892061216,1.3309869697043295,
完整生意周期(天),,,578.8124443737591,574.5797618526175,
应付款项周转天数(天),,,188.38975203105355,172.3682664301627,
缺钱天数(天),,,390.4226923427056,402.2114954224548,
总资产周转率(次/年),,,0.39683247974959923,0.3421535035562335,
ROA=资产收益率(%),,,5.016514665865714,4.6792476861815135,
ROE=净资产收益率(%),,,7.75183209707416,6.4440893337706235,
税前纯益占实收资本比率(%),,37.39911455400222,39.44492306388769,38.90687672127457,
毛利率(%),,45.29881087618633,44.185156739110276,43.18519434915703,
营业利润率(%),,16.678935855515288,16.59545999104646,18.058847328116613,
净利率(%),,13.036303521097917,12.64139130836254,13.675872475613202,
营业费用率(%),,24.62301923341875,23.196970506330615,20.85505100546017,
经营安全边际率(%),,11.479058744484794,11.509825537086604,12.612230901527516,
EPS=基本每股收益(元),,0.27999697525000755,0.2891377135021557,0.2883444144717219,
营收增长率(%),,,6.490530517127823,14.619232397877454,
净利增长率(%),,,3.2645837200105063,23.99885069853991,
净资本增长率(%),,,4.7111415463072035,91.6144594089887,
现金流量比率(%),,12.181966429634052,12.521752690034148,44.52550355233312,
现金流量允当比率(%),,,,,
现金再投资比率(%),,3.551071161419133,2.966580046268607,8.210140232171819,
