,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),44.20432011572701,53.95583219454887,41.40049613865588,38.162609070748516,36.16941811800711
应收款项(占总资产%),5.464725053267779e-09,2.3008642989186892e-09,1.295125353451736e-09,1.3128637719092848e-09,1.3482879910798171e-09
存货(占总资产%),2.7323625266338896e-09,1.1504321494593446e-09,6.47562676725868e-10,6.564318859546424e-10,6.741439955399086e-10
流动资产(占总资产%),2.7323625266338896e-09,1.1504321494593446e-09,6.47562676725868e-10,6.564318859546424e-10,6.741439955399086e-10
非流动资产(占总资产%),2.7323625266338896e-09,1.1504321494593446e-09,6.47562676725868e-10,6.564318859546424e-10,6.741439955399086e-10
应付款项(占总资产%),10.171194258747438,2.3008642989186892e-09,1.295125353451736e-09,1.3128637719092848e-09,1.3482879910798171e-09
流动负债(占总资产%),2.7323625266338896e-09,1.1504321494593446e-09,6.47562676725868e-10,6.564318859546424e-10,6.741439955399086e-10
非流动负债(占总资产%),2.7323625266338896e-09,1.1504321494593446e-09,6.47562676725868e-10,6.564318859546424e-10,6.741439955399086e-10
股东权益(占总资产%),43.50771429364258,35.43856464246447,23.00448498755526,23.760762867519908,25.74936207819655
负债占资产比率(%),56.49228570362504,64.5614353563851,76.9955150117972,76.23923713182366,74.2506379211293
长期资金占不动产及设备比率(%),6380.982615338785,11390.558835264133,7343.435465435037,7262.600146239977,7493.836650670208
流动比率(%),50.0,50.0,50.0,50.0,50.0
速动比率(%),-50.0,-50.0,-50.0,-50.0,-50.0
应收款项周转率(次/年),0.4,0.4,0.4,0.4,0.4
应收款项周转天数(天),2.6854739448818593e-07,1.9931598571213743e-07,8.651286514238293e-08,1.554111405708154e-07,1.6749928464414239e-07
存货周转率(次/年),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
存货周转天数(天),240.0,240.0,240.0,240.0,240.0
固定资产周转率(次/年),11.116418345292297,13.757436276970717,17.58736589008172,9.430029024011217,8.756467534238068
完整生意周期(天),180.00000026854738,180.000000199316,180.00000008651287,180.00000015541113,180.00000016749928
应付款项周转天数(天),335024168592.6,335024168592.6,360.0,360.0,360.0
缺钱天数(天),-335024168412.6,-335024168412.6,-179.99999991348713,-179.99999984458887,-179.99999983250072
总资产周转率(次/年),3.0967844501384446e-11,1.6191418588251715e-11,8.286752678583438e-12,6.519671190723086e-12,6.6517005238613935e-12
ROA=资产收益率(%),3.404506317936596,2.9150781859768027,3.396320267351898,1.6835892375601391,0.9662175843318431
ROE=净资产收益率(%),7.15255062981316,7.705859571696147,12.358020217806446,7.200964473030669,3.905199055716429
税前纯益占实收资本比率(%),22.292983937984758,27.940437207535098,66.17343668722226,38.41205621491108,22.917856263732542
毛利率(%),99.9999999254035,99.99999994463444,99.99999997596865,99.99999995683024,99.99999995347241
营业利润率(%),50.35969371787918,63.55553532060667,66.33613839292896,68.00587980308441,39.40217888430605
净利率(%),41.00450877717724,49.8396452433398,49.24616980497227,55.73911884166483,33.79268571280921
营业费用率(%),61.92280337058303,64.37118315484992,50.856377716147286,94.04023674084495,94.91440392972078
经营安全边际率(%),25.179846868331236,31.777767669100307,33.16806920044985,34.0029399088817,19.701089446736248
EPS=基本每股收益(元),0.1802242935278321,0.21870292727866686,0.49786723770937386,0.3136893226515355,0.17645401228850463
营收增长率(%),44.13811242457547,34.73449881822063,130.38883911676473,-44.3329063759825,-7.2168332749379545
净利增长率(%),96.52732610704302,63.76539602951294,127.64543832486868,-36.99337919517583,-43.74879873862058
净资本增长率(%),7.461674967769042,93.45821049904234,15.322909755448123,1.891981031947651,5.522018956706205
现金流量比率(%),-207233941986.0,671050353620.5,-725242047262.5,-1242736123766.0,432759379467.5
现金流量允当比率(%),,,-863.712273399817,-662.2090599573786,-301.3921122863005
现金再投资比率(%),-11.949360479590144,15.22821564806415,-9.777452078888757,-18.37685980951091,4.3450583375258685
