,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,22.45239333163754,,
应收款项(占总资产%),,,22.970585237060423,,
存货(占总资产%),,,11.486545253679308,,
流动资产(占总资产%),,,83.48070761477662,,
非流动资产(占总资产%),,,16.519292279649992,,
应付款项(占总资产%),,,8.435419411538042,,
流动负债(占总资产%),,,21.678031386726325,,
非流动负债(占总资产%),,,1.5369506883470605,,
股东权益(占总资产%),,,76.78501781935321,,
负债占资产比率(%),,,23.21498207507339,,
长期资金占不动产及设备比率(%),,,742.9318746344675,,
流动比率(%),,,385.093580311616,,
速动比率(%),,,328.0149064676196,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,4.748351980586975,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,79.42748578572514,,
毛利率(%),,,35.49032722520282,,
营业利润率(%),,,16.38793010675761,,
净利率(%),,,14.637868656617142,,
营业费用率(%),,,18.82202147265786,,
经营安全边际率(%),,,12.095276793832454,,
EPS=基本每股收益(元),,,0.6792811818071882,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,55.817074703613315,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,13.737044565428413,,
