,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,19.419790572822844,17.13379384389834,16.821123173613962,
应收款项(占总资产%),,43.24713170951979,44.530095797925426,41.76590334047396,
存货(占总资产%),,10.456064275826686,11.114860495086967,14.087049936126132,
流动资产(占总资产%),,74.47004964080531,75.08187136013869,75.28363769718074,
非流动资产(占总资产%),,25.529950334150897,24.91812861627025,24.7163622805464,
应付款项(占总资产%),,21.68234863596332,24.023336349362786,27.29836987227624,
流动负债(占总资产%),,51.26669042649651,50.68459981151358,52.48350815357406,
非流动负债(占总资产%),,5.589181338477514,6.379451194157807,5.260569879468953,
股东权益(占总资产%),,43.14412820998219,42.93594897073758,42.25592194468414,
负债占资产比率(%),,56.85587176497402,57.06405100567137,57.744078033043,
长期资金占不动产及设备比率(%),,429.4312555763013,452.2546979985158,460.31174411963,
流动比率(%),,145.26010745943884,148.13547232178462,143.44246471661458,
速动比率(%),,119.80477198325713,118.46382524650043,108.348386749511,
应收款项周转率(次/年),,,1.7459676798048105,1.733399010321291,
应收款项周转天数(天),,,206.18938365832395,207.6844382916833,
存货周转率(次/年),,,5.180696478585352,4.163251370012972,
存货周转天数(天),,,69.4887262754683,86.47087759063855,
固定资产周转率(次/年),,7.425814041380452,7.223083869335043,7.466769211445018,
完整生意周期(天),,,275.6781099186987,294.155315863502,
应付款项周转天数(天),,,147.3274680077633,175.81814663560579,
缺钱天数(天),,,128.3506419109354,118.3371692278962,
总资产周转率(次/年),,,0.7666155613951691,0.7472384362934132,
ROA=资产收益率(%),,,3.59006758856939,2.8585167365720823,
ROE=净资产收益率(%),,,8.341830231165162,6.71231341712072,
税前纯益占实收资本比率(%),,45.02789637208128,43.88300345852404,36.6536791198641,
毛利率(%),,25.727382147013195,27.0466398419772,29.55559647198106,
营业利润率(%),,4.852579675012997,4.6211564762467985,3.875212162822127,
净利率(%),,4.650894874719224,4.683009018102933,3.825441247207368,
营业费用率(%),,21.10302082480503,22.153661014342198,23.843125499318603,
经营安全边际率(%),,3.859604480859125,3.637370088649863,2.991157671571693,
EPS=基本每股收益(元),,0.3940026346987275,0.3740896788504059,0.31583587079535225,
营收增长率(%),,,-5.7051163201496,3.3544510532154845,
净利增长率(%),,,-5.054016521296546,-15.572151140732913,
净资本增长率(%),,,5.645774961176926,4.240801011730412,
现金流量比率(%),,3.479145118831962,7.2600561843439175,6.048749381006577,
现金流量允当比率(%),,,,,
现金再投资比率(%),,-1.680824166062062,3.226456228083916,2.84481850562467,
