,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,11.89139059942463,,
应收款项(占总资产%),,,23.735131735864634,,
存货(占总资产%),,,12.326352757718142,,
流动资产(占总资产%),,,75.04525905920326,,
非流动资产(占总资产%),,,24.954740835672414,,
应付款项(占总资产%),,,13.580325033625517,,
流动负债(占总资产%),,,16.82815152950847,,
非流动负债(占总资产%),,,0.15224885106089406,,
股东权益(占总资产%),,,83.01959951430631,,
负债占资产比率(%),,,16.980400380569368,,
长期资金占不动产及设备比率(%),,,435.3145706602283,,
流动比率(%),,,445.950694339823,,
速动比率(%),,,371.0245801900048,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,4.349302249701254,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,108.42615531615117,,
毛利率(%),,,31.005102862019207,,
营业利润率(%),,,18.25938424269116,,
净利率(%),,,15.165178459313724,,
营业费用率(%),,,12.786822874993442,,
经营安全边际率(%),,,13.937918328206504,,
EPS=基本每股收益(元),,,0.8878827630272544,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,56.236384417280675,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,11.214916866778943,,
