,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,28.73127664831518,,
应收款项(占总资产%),,,8.982434879241206,,
存货(占总资产%),,,2.791355991022388,,
流动资产(占总资产%),,,52.98129929064596,,
非流动资产(占总资产%),,,47.01870067389881,,
应付款项(占总资产%),,,8.453177120910201,,
流动负债(占总资产%),,,31.552211167487247,,
非流动负债(占总资产%),,,16.776981488033446,,
股东权益(占总资产%),,,51.67080730902408,,
负债占资产比率(%),,,48.3291926555207,,
长期资金占不动产及设备比率(%),,,200.45011335060474,,
流动比率(%),,,167.91627993953412,,
速动比率(%),,,154.10986943991256,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,0.9225771721792246,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,51.241563706568805,,
毛利率(%),,,30.04533065445839,,
营业利润率(%),,,8.608562624669768,,
净利率(%),,,14.463180564366867,,
营业费用率(%),,,18.931317890693958,,
经营安全边际率(%),,,6.6196629908562095,,
EPS=基本每股收益(元),,,0.37725762599891416,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,7.781663115764941,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,-2.737074754515695,,
