,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,26.014327259530308,,
应收款项(占总资产%),,,7.274463040204485,,
存货(占总资产%),,,4.013333412381261,,
流动资产(占总资产%),,,64.25010689014434,,
非流动资产(占总资产%),,,35.7498930433532,,
应付款项(占总资产%),,,1.4225961985182702,,
流动负债(占总资产%),,,9.456246465261435,,
非流动负债(占总资产%),,,1.6157750710676937,,
股东权益(占总资产%),,,88.9279783971684,,
负债占资产比率(%),,,11.07202153632913,,
长期资金占不动产及设备比率(%),,,468.31242621174437,,
流动比率(%),,,679.4461911956901,,
速动比率(%),,,635.3592223117654,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,1.881183590812576,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,105.3397751541264,,
毛利率(%),,,72.72656391618827,,
营业利润率(%),,,32.27160969323939,,
净利率(%),,,29.64460082215447,,
营业费用率(%),,,40.6114106268671,,
经营安全边际率(%),,,18.683640177603763,,
EPS=基本每股收益(元),,,0.8858884477756972,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,131.5711049249748,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,10.215580419201117,,
