,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,17.856135546136354,,
应收款项(占总资产%),,,4.677024462935381,,
存货(占总资产%),,,30.03269128590133,,
流动资产(占总资产%),,,66.73026293747868,,
非流动资产(占总资产%),,,33.26973704242736,,
应付款项(占总资产%),,,10.832467995660862,,
流动负债(占总资产%),,,25.90135937268951,,
非流动负债(占总资产%),,,0.40187926104167765,,
股东权益(占总资产%),,,73.69676134617485,,
负债占资产比率(%),,,26.303238633731183,,
长期资金占不动产及设备比率(%),,,293.47085844231935,,
流动比率(%),,,257.63228070597245,,
速动比率(%),,,141.36640530980776,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,2.736655349455982,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,136.72126617546454,,
毛利率(%),,,69.83266703509405,,
营业利润率(%),,,31.7215571448908,,
净利率(%),,,23.428561148249578,,
营业费用率(%),,,21.525333732178385,,
经营安全边际率(%),,,18.678124590916237,,
EPS=基本每股收益(元),,,1.008994906468342,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,41.597511745785546,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,11.15870025200211,,
