,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,55.499537803842905,,
应收款项(占总资产%),,,0.9313010378454393,,
存货(占总资产%),,,7.1790394292825885,,
流动资产(占总资产%),,,71.18493334989988,,
非流动资产(占总资产%),,,28.81506650770748,,
应付款项(占总资产%),,,1.1023367900870027,,
流动负债(占总资产%),,,4.355540525168309,,
非流动负债(占总资产%),,,1.423926267173193e-07,,
股东权益(占总资产%),,,95.64445933243906,,
负债占资产比率(%),,,4.355540525168309,,
长期资金占不动产及设备比率(%),,,486.80155616517624,,
流动比率(%),,,1634.3535460492628,,
速动比率(%),,,1435.3801220809532,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,5.527895757944975,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,51.56761557860321,,
毛利率(%),,,38.953498098078896,,
营业利润率(%),,,22.1881313458715,,
净利率(%),,,19.97607376467114,,
营业费用率(%),,,15.867454030400383,,
经营安全边际率(%),,,15.968026461780932,,
EPS=基本每股收益(元),,,0.44302954355808716,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,150.02414154458504,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,6.8319298361329555,,
