,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,47.85292565566443,,
应收款项(占总资产%),,,8.581857355835766,,
存货(占总资产%),,,13.777346866258597,,
流动资产(占总资产%),,,71.37101998914193,,
非流动资产(占总资产%),,,28.628979931414754,,
应付款项(占总资产%),,,10.25667137116731,,
流动负债(占总资产%),,,20.410940885744292,,
非流动负债(占总资产%),,,0.5508534200408133,,
股东权益(占总资产%),,,79.03820561477157,,
负债占资产比率(%),,,20.9617943057851,,
长期资金占不动产及设备比率(%),,,350.380562838495,,
流动比率(%),,,349.670405254077,,
速动比率(%),,,278.53662937567384,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,2.3060308314435245,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,15.079995119807716,,
毛利率(%),,,20.481822627362845,,
营业利润率(%),,,4.2610414971014325,,
净利率(%),,,3.991001408677724,,
营业费用率(%),,,15.230579409489911,,
经营安全边际率(%),,,3.536667527250455,,
EPS=基本每股收益(元),,,0.11326834810928678,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,23.29799388229107,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,0.6481338144839773,,
