,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,19.916974941911707,,
应收款项(占总资产%),,,1.244550885222034,,
存货(占总资产%),,,2.011682471540294,,
流动资产(占总资产%),,,36.57271549389211,,
非流动资产(占总资产%),,,63.427284398194196,,
应付款项(占总资产%),,,0.9520977865805497,,
流动负债(占总资产%),,,14.247787332204068,,
非流动负债(占总资产%),,,2.4460527143211697,,
股东权益(占总资产%),,,83.30615984556108,,
负债占资产比率(%),,,16.69384004652524,,
长期资金占不动产及设备比率(%),,,160.3719202891961,,
流动比率(%),,,256.69049069972544,,
速动比率(%),,,233.92839917320535,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,0.8107157698363647,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,40.28211477394509,,
毛利率(%),,,45.450404361577974,,
营业利润率(%),,,23.204376923437714,,
净利率(%),,,19.58805229428573,,
营业费用率(%),,,21.81445127019573,,
经营安全边际率(%),,,15.953463330190203,,
EPS=基本每股收益(元),,,0.3301278551140961,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,85.02823210024049,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,11.05930303749393,,
