,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,,45.87551310713845,,
应收款项(占总资产%),,,0.3352336631742573,,
存货(占总资产%),,,3.0983028559513452,,
流动资产(占总资产%),,,50.82910111799244,,
非流动资产(占总资产%),,,49.17089879591018,,
应付款项(占总资产%),,,6.468264047667281,,
流动负债(占总资产%),,,18.233837715335408,,
非流动负债(占总资产%),,,0.14943865983368243,,
股东权益(占总资产%),,,81.61672353873352,,
负债占资产比率(%),,,18.38327637516909,,
长期资金占不动产及设备比率(%),,,211.83231359907754,,
流动比率(%),,,278.7624946076813,,
速动比率(%),,,259.317653139752,,
应收款项周转率(次/年),,,,,
应收款项周转天数(天),,,,,
存货周转率(次/年),,,,,
存货周转天数(天),,,,,
固定资产周转率(次/年),,,2.626400357146064,,
完整生意周期(天),,,,,
应付款项周转天数(天),,,,,
缺钱天数(天),,,,,
总资产周转率(次/年),,,,,
ROA=资产收益率(%),,,,,
ROE=净资产收益率(%),,,,,
税前纯益占实收资本比率(%),,,64.97011528581594,,
毛利率(%),,,38.16699565209682,,
营业利润率(%),,,17.297004079406236,,
净利率(%),,,15.013157410380032,,
营业费用率(%),,,19.776142811899355,,
经营安全边际率(%),,,12.518911624133398,,
EPS=基本每股收益(元),,,0.5525158998213745,,
营收增长率(%),,,,,
净利增长率(%),,,,,
净资本增长率(%),,,,,
现金流量比率(%),,,101.26465512624215,,
现金流量允当比率(%),,,,,
现金再投资比率(%),,,20.00221925608982,,
