,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),,44.91095585818077,13.599019014200579,20.816063968181968,
应收款项(占总资产%),,22.635347623440573,26.30306268542906,24.483396348051976,
存货(占总资产%),,14.516923262823944,13.813130020506637,14.97544992773219,
流动资产(占总资产%),,83.75557565021164,84.0557384757173,81.47879879673229,
非流动资产(占总资产%),,16.244424224990414,15.944261400280515,18.521201083632086,
应付款项(占总资产%),,15.473574013402288,13.593805469182426,13.753201555700873,
流动负债(占总资产%),,23.925188506848635,21.165082735931414,22.709986943373252,
非流动负债(占总资产%),,0.07487876877988238,1.2400217624855976e-07,1.1963562685757138e-07,
股东权益(占总资产%),,75.99993259957353,78.83491714006641,77.29001293699113,
负债占资产比率(%),,24.000067275628517,21.165082735931414,22.709986943373252,
长期资金占不动产及设备比率(%),,662.9296867442301,707.7151634153137,775.1159879341807,
流动比率(%),,350.07279123152057,397.14344154465095,358.77959142235215,
速动比率(%),,286.57119580650243,329.3434115382455,290.7124222704086,
应收款项周转率(次/年),,,1.4046809074246647,1.1220103097742895,
应收款项周转天数(天),,,256.2859620855268,320.85266459709135,
存货周转率(次/年),,,1.4667999342407987,1.2505483884327069,
存货周转天数(天),,,245.43224262389654,287.87370452139527,
固定资产周转率(次/年),,3.6434035924023225,3.552257666774336,3.540463448148005,
完整生意周期(天),,,501.71820397463205,608.7263681454208,
应付款项周转天数(天),,,251.78785254354798,273.28939378603235,
缺钱天数(天),,,249.93035143108406,335.43697435938844,
总资产周转率(次/年),,,0.34379664535715454,0.28473169563532563,
ROA=资产收益率(%),,,5.320594809372711,2.909418274445883,
ROE=净资产收益率(%),,,6.872203824203125,3.7276997800255596,
税前纯益占实收资本比率(%),,78.2991515587606,63.96643293791959,35.036754762040566,
毛利率(%),,37.90405623538125,39.57006367395445,36.734189055191976,
营业利润率(%),,15.787399116230278,17.657296324816688,12.577372735643843,
净利率(%),,16.44170637526387,15.475993910858088,10.218104645885925,
营业费用率(%),,18.113844713214775,20.370073273061035,21.156250258436444,
经营安全边际率(%),,11.44810352009051,12.651206039473752,9.198411035711821,
EPS=基本每股收益(元),,0.6792515508843556,0.534630879567114,0.29863521076705984,
营收增长率(%),,,-16.379696966957354,-15.399062633262702,
净利增长率(%),,,-21.29118159061308,-44.14179666790162,
净资本增长率(%),,,4.395924561847451,1.6186781739612002,
现金流量比率(%),,-2.857475621177667,10.676281830849248,16.272605761762737,
现金流量允当比率(%),,,,,
现金再投资比率(%),,-0.8986634931735316,0.3496027976951461,2.67623468989978,
