,2017,2016,2015,2014,2013
负债占资产比率(%),0.858361458985,0.844418217265,0.582597332583,0.641221400158,0.719503712313
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.976662829462,1.22302668683,1.3181125779,0.886392929897,1.0267287752
速动比率(%),0.536615888551,0.695036897454,0.928506055813,0.533802481459,0.820648960261
应收款项周转率,6.0473617383,0.0,0.0,23.5098743332,25.6425183043
应收款项周转天数,59.5300918944,0.0,0.0,15.3127147724,14.0391827249
存货周转率,7.15366566511,16.4777291125,4.17931118459,6.02394640371,9.49538889542
存货周转天数,50.3238502962,21.8476707283,86.1385965533,59.7614878808,37.9131390999
固定资产周转率,206.785497656,189.273995181,8.21029840815,8.66753454439,9.71879042845
总资产周转率,2.12362706608,4.63605503948,1.00709083325,1.21221151979,1.86461256598
ROA=资产收益率,0.0167608526576,0.0460714487594,0.0469688898971,0.146381041106,0.0586498376097
净资产收益率,0.113315423943,0.283883116699,0.121162985736,0.452454136638,0.171610339452
ROA=税前纯益占实收资本比率,0.612788528276,0.760967002584,0.0685674203661,0.176306160664,0.0529548325181
毛利率,0.0508250232495,0.0487744232329,0.106973036404,0.124845807169,0.119255397229
营业利润率,0.00985510060523,0.0113728898827,0.0,0.121719473937,0.0406789721637
净利率,0.040969922644247946,0.0374015333501726,0.1069730364040194,0.00312633323179852,0.07857642506549466
营业费用率,0.040969922644247946,0.0374015333501726,0.1069730364040194,0.00312633323179852,0.07857642506549466
经营安全边际率,0.19390253019369058,0.2331732315610288,0.0,0.9749584443186778,0.34110801782403277
EPS=基本每股收益,0.485075334639,0.615810954467,0.0596782783362,0.171719974849,0.0468384199613
营收增长率,-0.00819290355133,87.4836631929,-0.100170470099,-0.0450286062986,0.165694103595
毛利率,0.0508250232495,0.0487744232329,0.106973036404,0.124845807169,0.119255397229
营业利润率,0.00985510060523,0.0113728898827,0.0,0.121719473937,0.0406789721637
净利增长率,-0.212298301743,17.8540531519,-0.652467464029,2.66622048718,3.17628731337
净资本增长率,0.222133524139,37.0286919384,-0.0295878103981,0.220661724346,0.954054317973
现金流量比率,0.0410551937804,0.0271031415605,0.0,0.0,0.0273236097827
现金再投资比率,0.0918873315029,0.0248858063638,0.0,0.0,0.0566984118267
