,2017,2016,2015,2014,2013
负债占资产比率(%),0.760445843252,0.782460359529,0.794793045529,0.7929696209,0.767877269729
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.47831288767,1.30202302699,1.23739187232,1.45333396048,1.5560559489
速动比率(%),0.535718383112,0.623811459131,0.261922298646,0.235492401628,0.335059495235
应收款项周转率,5.46808144007,13.1143578587,0.0,0.0,0.0
应收款项周转天数,65.8366200185,27.4508293795,0.0,0.0,0.0
存货周转率,0.464532077537,0.594111230341,0.385934868452,0.451629755143,0.5620575529
存货周转天数,774.973392385,605.947138541,932.799882642,797.113112899,640.503802756
固定资产周转率,5.98218934975,9.92521433832,38.9290972947,40.3033886728,29.0938786915
总资产周转率,0.182985216746,0.283438594749,0.256988871649,0.32954911628,0.387290758166
ROA=资产收益率,0.0,0.00615557207039,0.0172626794051,0.025387370936,0.0310740606346
净资产收益率,0.0,0.0291436795351,0.0837754363981,0.116032059804,0.122583596258
ROA=税前纯益占实收资本比率,0.00329633371175,0.444144181903,0.908082412641,1.02462270671,1.11100230955
毛利率,0.221646755733,0.201820643945,0.241885076071,0.272761312325,0.301722982582
营业利润率,0.00973976332481,0.0447958260219,0.102570078569,0.106647908147,0.0900091408914
净利率,0.21190699240782457,0.15702481792302211,0.13931499750219767,0.16611340417773146,0.21171384169054608
营业费用率,0.21190699240782457,0.15702481792302211,0.13931499750219767,0.16611340417773146,0.21171384169054608
经营安全边际率,0.04394272901770285,0.2219585922743869,0.42404467540870444,0.39099352924416547,0.2983171521145977
EPS=基本每股收益,0.0,0.205878436722,0.555820556357,0.719155573641,0.748806791801
营收增长率,-0.407804993605,0.145673085224,-0.113629193802,0.000267996581424,0.487238053761
毛利率,0.221646755733,0.201820643945,0.241885076071,0.272761312325,0.301722982582
营业利润率,0.00973976332481,0.0447958260219,0.102570078569,0.106647908147,0.0900091408914
净利增长率,0.0,-0.629595497383,-0.227120560933,-0.0395979556869,0.14679838929
净资本增长率,-0.116968922112,-0.0501653082001,0.140152644374,0.13265214128,0.22818998
现金流量比率,0.258240651321,0.244597650918,0.0488949826117,0.0,0.0
现金再投资比率,0.0995082881227,0.130364121751,-0.0429988846545,0.0,0.0
