,2017,2016,2015,2014,2013
负债占资产比率(%),0.296899857904,0.292731945321,0.260288071679,0.264477365968,0.30426981927
长期资金占不动产及设备比率(%),4.99193804667,5.03423170364,5.68099706616,5.2333259462,0.0
流动比率(%),2.38316819667,2.55603778971,3.13187662134,3.07957674774,2.49427858392
速动比率(%),1.0915829038,1.23814632701,1.54995911207,1.79511920393,1.46116646224
应收款项周转率,2.03745933112,3.98609827747,4.78625788648,6.23154564338,6.83957142259
应收款项周转天数,176.690643342,90.2116011366,75.1898346046,57.7705790188,52.634876918
存货周转率,0.25957981578,0.497897309011,0.689093076755,1.54190994742,1.11803982871
存货周转天数,1386.85667419,723.04066217,522.425797246,233.476670024,321.992106861
固定资产周转率,0.668287955511,1.30703868311,2.93190068928,4.85056891768,4.19668340603
总资产周转率,0.0824456447727,0.17252480526,0.229747897081,0.395413258701,0.35794912355
ROA=资产收益率,0.0,0.0118264677429,0.0203047340924,0.0445548796954,0.0117593642235
净资产收益率,0.0,0.0163565283668,0.0275277197521,0.062264258818,0.0168806297158
ROA=税前纯益占实收资本比率,0.0,0.100626422439,0.191638594062,0.410405557294,0.126020463712
毛利率,0.0940569140809,0.174108071139,0.221971613289,0.109142921107,0.225126679936
营业利润率,0.0,0.0943761940897,0.113172051197,0.165120866768,0.0506388076476
净利率,0.09405691408086844,0.07973187704899141,0.10879956209264177,-0.055977945661039474,0.17448787228864812
营业费用率,0.09405691408086844,0.07973187704899141,0.10879956209264177,-0.055977945661039474,0.17448787228864812
经营安全边际率,0.0,0.5420552503537973,0.5098492078314637,1.5128866361042606,0.2249347241382313
EPS=基本每股收益,0.0,0.0745422683145,0.124858092468,0.275551702352,0.0729554165243
营收增长率,-0.516433362075,-0.229676768337,-0.42209139685,0.101194536626,-0.236969482921
毛利率,0.0940569140809,0.174108071139,0.221971613289,0.109142921107,0.225126679936
营业利润率,0.0,0.0943761940897,0.113172051197,0.165120866768,0.0506388076476
净利增长率,0.0,-0.402984085041,-0.546879618591,2.77698758337,-0.653320988585
净资本增长率,-0.0282657872693,0.0567156819629,-0.00648963687235,-0.00494109128393,-0.00134153635445
现金流量比率,0.0,0.0,0.0,0.239687823647,0.0687734478679
现金再投资比率,0.0,0.0,0.0,0.0395357989714,-0.0106257664866
