,2017,2016,2015,2014,2013
负债占资产比率(%),0.677754186232,0.666576297906,0.642122647199,0.803050152408,0.763689900855
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.735456512646,0.712272640698,0.829425182053,0.693789115468,0.623398947933
速动比率(%),0.160789001839,0.192100889438,0.259087817326,0.137600956527,0.100307887136
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.129340819433,0.200892524117,0.245106229878,0.348418146397,0.46579645387
存货周转天数,2783.34404853,1792.00297065,1468.75091743,1033.24124683,772.869773931
固定资产周转率,0.19707165706,0.270395064077,0.34808485236,0.409583001534,0.543426020114
总资产周转率,0.0804224149911,0.1089151817,0.127394878285,0.175363965147,0.24145046422
ROA=资产收益率,0.0,0.0,0.0,0.0,0.0150934241538
净资产收益率,0.0,0.0,0.0,0.0,0.0601836194099
ROA=税前纯益占实收资本比率,0.0,0.0,0.00603444171608,0.0,0.264107681917
毛利率,0.606133559056,0.565513509223,0.542592018288,0.511629736865,0.63726831624
营业利润率,0.0,0.0,0.0123485482892,0.0,0.105105033859
净利率,0.6061335590564209,0.5655135092233683,0.5302434699991021,0.5116297368649523,0.5321632823812282
营业费用率,0.6061335590564209,0.5655135092233683,0.5302434699991021,0.5116297368649523,0.5321632823812282
经营安全边际率,0.0,0.0,0.022758440730817467,0.0,0.16493058132729765
EPS=基本每股收益,0.0,0.0,0.0,0.0,0.154859328429
营收增长率,-0.299935605902,-0.159734697536,-0.211162931028,-0.149701409165,0.0825860397442
毛利率,0.606133559056,0.565513509223,0.542592018288,0.511629736865,0.63726831624
营业利润率,0.0,0.0,0.0123485482892,0.0,0.105105033859
净利增长率,0.0,0.0,0.0,0.0,-0.0437355679599
净资本增长率,-0.0384143434856,-0.0645358280917,0.0317047875653,0.14804249644,0.197922081555
现金流量比率,0.021002232316,0.0233723384332,0.0438278603641,0.0262526494841,0.0498175041793
现金再投资比率,-0.033349739338,-0.0324991423614,-0.0172747230306,-0.0386765522083,-0.011874255177
