,2017,2016,2015,2014,2013
负债占资产比率(%),0.433899999366,0.369604927062,0.740729743461,0.771414247604,0.746669473486
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.73705645038,1.82029975706,0.760219037771,0.837992644269,0.820169967575
速动比率(%),1.2340819025,1.09989355081,0.677722525982,0.788177797995,0.763164622324
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,1.5752712592,2.2499562536,18.5360004119,13.5550554678,16.2536099639
存货周转天数,228.532068935,160.003110916,19.4216655158,26.5583568327,22.148925734
固定资产周转率,3.04525959877,3.2762810034,2.04167985472,1.89187188651,2.30762341949
总资产周转率,0.318977975603,0.491454099981,0.640933089495,0.506709460117,0.624022728497
ROA=资产收益率,0.0213610484677,0.0156297476425,0.00489200235582,0.00770756098689,0.010094691783
净资产收益率,0.0358900544294,0.0275191523811,0.0200525061082,0.032237877806,0.0354508269863
ROA=税前纯益占实收资本比率,0.244270954698,0.0852055981309,0.0840950988679,0.141222417566,0.15437741787
毛利率,0.165597957825,0.233993008475,0.235941470284,0.257670942487,0.244029786758
营业利润率,0.0927823518513,0.0386729728812,0.0109239610674,0.0167991716603,0.017919948218
净利率,0.07281560597410158,0.19532003559419114,0.22501750921641417,0.24087177082643918,0.22610983853987793
营业费用率,0.07281560597410158,0.19532003559419114,0.22501750921641417,0.24087177082643918,0.22610983853987793
经营安全边际率,0.5602868119250622,0.16527405298626738,0.046299453225837076,0.06519622080063331,0.07343344620378903
EPS=基本每股收益,0.177663680387,0.0706881375534,0.0592785650589,0.128760036856,0.133260923094
营收增长率,0.187266907521,1.29577732376,0.459505281484,0.0275736827901,0.158666107153
毛利率,0.165597957825,0.233993008475,0.235941470284,0.257670942487,0.244029786758
营业利润率,0.0927823518513,0.0386729728812,0.0109239610674,0.0167991716603,0.017919948218
净利增长率,1.51334504679,8.51511219713,-0.267644955082,-0.033774989199,-0.0630241097856
净资本增长率,0.210959833046,3.94406778017,0.00413370087976,0.357037072587,0.159329420665
现金流量比率,0.0681132015468,0.331783815438,0.0596227821176,0.0811262751781,0.155035126084
现金再投资比率,0.01789113111,0.129654131309,0.029904976111,0.0920597534568,0.176386714508
