,2017,2016,2015,2014,2013
负债占资产比率(%),0.468488537824,0.48266963293,0.384956113364,0.406092244393,0.394392522467
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.35563288079,2.08173474354,2.37201133412,2.23172846558,2.26392968647
速动比率(%),2.04550756151,1.95504378816,2.14326549777,1.91583047537,1.98860588954
应收款项周转率,0.169314234119,0.462230517212,1.15764591613,1.59809837108,1.41591984629
应收款项周转天数,2126.22407013,778.832177008,310.769119621,225.267734775,254.251680236
存货周转率,1.06287602405,2.49925919972,3.57801763075,4.51537166415,3.79874489563
存货周转天数,338.703660498,144.042682744,100.61437286,79.7276562764,94.7681431343
固定资产周转率,0.572973896045,1.51786343703,2.58134857311,3.17470762595,2.89986662204
总资产周转率,0.0604657700708,0.143490664798,0.313940088215,0.417873489952,0.407881531244
ROA=资产收益率,0.0,0.0,0.0100564771459,0.0128169902431,0.0201071139361
净资产收益率,0.0,0.0,0.0166364345965,0.0213746643868,0.0349237130579
ROA=税前纯益占实收资本比率,0.0,0.0,0.00877403546034,0.0106419884699,0.0145908381671
毛利率,0.271433827801,0.150584578337,0.266987901601,0.244768560322,0.293339141019
营业利润率,0.0,0.0,0.0495514944408,0.0468900491229,0.0356694365685
净利率,0.2714338278007646,0.1505845783365755,0.21743640716014942,0.19787851119952343,0.257669704450579
营业费用率,0.2714338278007646,0.1505845783365755,0.21743640716014942,0.19787851119952343,0.257669704450579
经营安全边际率,0.0,0.0,0.1855945312265424,0.1915689215198608,0.12159794442898204
EPS=基本每股收益,0.0,0.0,0.00556177471175,0.00693648987256,0.0110615545073
营收增长率,-0.64687155523,-0.581427300925,-0.231746275607,0.00785500562158,-0.0978115903288
毛利率,0.271433827801,0.150584578337,0.266987901601,0.244768560322,0.293339141019
营业利润率,0.0,0.0,0.0495514944408,0.0468900491229,0.0356694365685
净利增长率,0.0,0.0,-0.198185996962,-0.372919071364,-0.124615067365
净资本增长率,-0.153782931123,-0.168820171446,0.00176115756875,0.0429294469124,-0.0712045368354
现金流量比率,0.334531853359,0.0,0.0,0.198182169775,0.258244811132
现金再投资比率,0.106755966664,0.0,0.0,0.0752595397517,0.0904495073019
