,2017,2016,2015,2014,2013
负债占资产比率(%),0.481231434082,0.623280202699,0.597069405922,0.612349499863,0.595972676951
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.4849831128,2.59806463022,1.58172351209,1.38986852542,1.90247669392
速动比率(%),1.58350259091,0.50741381343,0.276279720453,0.224785194178,0.44875952463
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.124135191076,0.114966434079,0.0779985886985,0.217038142669,0.0264513492965
存货周转天数,2900.06400988,3131.3487531,4615.46812586,1658.69462193,13609.8917286
固定资产周转率,38.3952702703,23.7549678713,21.3835231963,38.9685061955,18.792421477
总资产周转率,0.0516413023463,0.0637856356629,0.0602675035871,0.137233521271,0.0896430144465
ROA=资产收益率,0.0386279528072,0.0,0.00635907780669,0.0,0.0244226019099
净资产收益率,0.0882591118984,0.0,0.0161013790006,0.0,0.0550977956924
ROA=税前纯益占实收资本比率,0.572958463182,0.0,0.290324344291,0.0,0.331457115692
毛利率,0.495971662888,0.469129316478,0.622705373687,0.459504577513,0.86852523226
营业利润率,0.984128058479,0.0,0.33055435454,0.0,0.338439750033
净利率,-0.4881563955915034,0.4691293164778635,0.292151019147622,0.459504577512995,0.5300854822273215
营业费用率,-0.4881563955915034,0.4691293164778635,0.292151019147622,0.459504577512995,0.5300854822273215
经营安全边际率,1.9842425124640635,0.0,0.5308358792255198,0.0,0.3896717532917302
EPS=基本每股收益,0.442107284445,0.0,0.0911185697541,0.0,0.250622405532
营收增长率,-0.306963435514,-0.0124227918468,-0.523332140928,0.969407886631,0.263514280795
毛利率,0.495971662888,0.469129316478,0.622705373687,0.459504577513,0.86852523226
营业利润率,0.984128058479,0.0,0.33055435454,0.0,0.338439750033
净利增长率,0.0,0.0,0.0,0.0,-0.304095559349
净资本增长率,-0.248543889222,-0.0440277736053,-0.0877520614799,0.312717388892,0.25351675693
现金流量比率,0.113093365411,0.126484847439,0.0,0.0,0.0
现金再投资比率,-0.0302028455418,-0.0166777548088,0.0,0.0,0.0
