,2017,2016,2015,2014,2013
负债占资产比率(%),0.830470875211,0.807599798795,0.269247387588,0.232328730424,0.231722307966
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),8.83677194504,26.6417789139,9.8312682166,12.4775127486,15.7974985004
速动比率(%),8.34880948605,26.0098204691,7.36701660627,8.58180072011,13.3559120481
应收款项周转率,1.94879224235,2.29594563055,1.24067218622,1.78310489601,3.19499081297
应收款项周转天数,184.729799399,156.798138078,290.165286203,201.895020761,112.676380332
存货周转率,2.16041442866,2.24998363663,1.83181532976,2.92359446706,5.22245108746
存货周转天数,166.634695281,160.001163626,196.526360573,123.136092935,68.9331491997
固定资产周转率,0.465223263154,0.496803036381,0.406131540505,0.750075205463,1.27658636311
总资产周转率,0.0485974439451,0.0877421339498,0.187666885073,0.316399497144,0.42672183878
ROA=资产收益率,0.0,0.0424969964933,0.0,0.0,0.0180733271559
净资产收益率,0.0,0.145432940046,0.0,0.0,0.0243769482496
ROA=税前纯益占实收资本比率,0.0,0.0775054725724,0.0,0.0,0.0144823859355
毛利率,0.195872195471,0.182110236343,-0.137866366949,0.0163721783572,0.0625379754841
营业利润率,0.0,0.558936513632,0.0,0.0,0.0
净利率,0.1958721954706276,-0.37682627728951146,-0.13786636694915216,0.016372178357155757,0.06253797548406922
营业费用率,0.1958721954706276,-0.37682627728951146,-0.13786636694915216,0.016372178357155757,0.06253797548406922
经营安全边际率,0.0,3.069220736064483,-0.0,0.0,0.0
EPS=基本每股收益,0.0,0.0654080698114,0.0,0.0,0.0143627043014
营收增长率,-0.091416033946,0.160451428058,-0.487796994945,-0.330008611986,-0.191348249394
毛利率,0.195872195471,0.182110236343,-0.137866366949,0.0163721783572,0.0625379754841
营业利润率,0.0,0.558936513632,0.0,0.0,0.0
净利增长率,0.0,0.0,0.0,0.0,1.34080072932
净资本增长率,0.0137935670037,3.39376937337,-0.147580444261,-0.126719674386,-0.068137869945
现金流量比率,0.0,0.0,4.142065585,0.0,0.0
现金再投资比率,0.0,0.0,0.185490537897,0.0,0.0
