,2017,2016,2015,2014,2013
负债占资产比率(%),0.482832433613,0.500100953282,0.486907038347,0.741732877553,0.733792420854
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.21896727382,1.27978050192,1.30481542541,1.22246534269,1.33660609627
速动比率(%),0.631812132683,0.755818280656,0.631827202675,0.177789930917,0.1406009322
应收款项周转率,1.21684759799,2.47037182213,2.99918892918,14.7271103624,18.4080574769
应收款项周转天数,295.846415438,145.727050792,120.032451606,24.4447139419,19.5566534085
存货周转率,0.772936175321,1.28369263602,0.793808993039,0.592737715324,0.634226415889
存货周转天数,465.756438235,280.440963746,453.509601373,607.35126295,567.620633548
固定资产周转率,1.12006622921,4.16130046247,1.9427617139,1.31963670022,1.25698377172
总资产周转率,0.199103114019,0.374110878721,0.333050010146,0.337548345831,0.32610383857
ROA=资产收益率,0.00713792309851,0.0310842453089,0.0177402254358,0.0,0.00978796206046
净资产收益率,0.0140385581117,0.0614039135512,0.039611694932,0.0,0.037206845813
ROA=税前纯益占实收资本比率,0.173753429842,0.531857100004,0.19079855252,0.0,0.0679913507715
毛利率,0.250081947918,0.220408418005,0.239272892542,0.160284212446,0.127784970479
营业利润率,0.0689652349968,0.0693519845998,0.0502447035733,0.0,0.0
净利率,0.18111671292148152,0.15105643340505626,0.18902818896921697,0.16028421244637658,0.12778497047871318
营业费用率,0.18111671292148152,0.15105643340505626,0.18902818896921697,0.16028421244637658,0.12778497047871318
经营安全边际率,0.27577054469899165,0.3146521590579945,0.20998911761121392,0.0,0.0
EPS=基本每股收益,0.0896615390501,0.378657514201,0.139273988576,0.0,0.0679362791864
营收增长率,-0.451210506728,0.742796401748,0.938367948077,0.00234085210328,0.00445088911504
毛利率,0.250081947918,0.220408418005,0.239272892542,0.160284212446,0.127784970479
营业利润率,0.0689652349968,0.0693519845998,0.0502447035733,0.0,0.0
净利增长率,-0.763212043371,1.71854772708,0.0,0.0,0.000711654343712
净资本增长率,-0.0188172799221,0.0854161219846,1.9059914004,0.0119012406818,-0.0720504529784
现金流量比率,0.0,0.13478088253,0.0328433617972,0.0989186556696,0.087380000108
现金再投资比率,0.0,0.065697605272,-0.00237800741287,0.0112793682681,-0.0135892613614
