,2017,2016,2015,2014,2013
负债占资产比率(%),0.310930592809,0.286639439071,0.296669420671,0.331647106539,0.299571828389
长期资金占不动产及设备比率(%),0.99502683897,1.0828824679,1.05145101777,1.15202000438,0.0
流动比率(%),0.384835260363,0.469527210522,0.402258881592,0.647397777297,0.68057445249
速动比率(%),0.358465362658,0.443525425936,0.342826871543,0.587378058413,0.480879953076
应收款项周转率,0.0,26.6471028656,0.0,0.0,0.0
应收款项周转天数,0.0,13.5099114458,0.0,0.0,0.0
存货周转率,37.6789848365,43.9508866379,30.9267879503,11.4343021275,4.98927631722
存货周转天数,9.55439753916,8.19096103717,11.6403941004,31.4842126774,72.1547529363
固定资产周转率,0.366334955989,0.5389564643,0.558263509701,0.449606127931,0.575090639662
总资产周转率,0.208583450219,0.315740011962,0.318526963223,0.329017425577,0.351995005454
ROA=资产收益率,0.0288051989924,0.0380574581215,0.0491514143249,0.0452299076781,0.0561126741648
净资产收益率,0.0411035337358,0.053714808945,0.0716549570215,0.0666942909216,0.0825080455686
ROA=税前纯益占实收资本比率,0.381199902238,0.476921430203,0.58301438047,0.385972918995,0.472701942447
毛利率,0.447587862613,0.453851582088,0.480383775527,0.465247569462,0.476363636978
营业利润率,0.130215420991,0.117304195562,0.152138033886,0.132974796313,0.145055852294
净利率,0.3173724416224265,0.3365473865255047,0.3282457416407877,0.33227277314953585,0.3313077846843111
营业费用率,0.3173724416224265,0.3365473865255047,0.3282457416407877,0.33227277314953585,0.3313077846843111
经营安全边际率,0.2909270600645459,0.25846378021315985,0.3167010245491935,0.2858151337931541,0.304506559766129
EPS=基本每股收益,0.380749183524,0.470316100243,0.584073534007,0.384919971481,0.473050626293
营收增长率,-0.29340874394,0.0308654385307,0.351805054878,0.544197898786,0.0869491235835
毛利率,0.447587862613,0.453851582088,0.480383775527,0.465247569462,0.476363636978
营业利润率,0.130215420991,0.117304195562,0.152138033886,0.132974796313,0.145055852294
净利增长率,-0.1904398269,-0.194765602514,0.517389528423,0.331635282053,0.0218616052102
净资本增长率,0.0714288590369,0.067630338174,0.0119677795533,1.26808091376,0.0222760985027
现金流量比率,0.169872223242,0.46956678132,0.528240427355,0.355726452007,0.718645106148
现金再投资比率,0.0643109638556,0.1673180512,0.198580855395,0.134574273848,0.245470748722
