,2017,2016,2015,2014,2013
负债占资产比率(%),0.51486247845,0.499854910645,0.554424713354,0.509651675876,0.490230286382
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.983716448137,1.08122761459,0.895214592413,0.912353841924,1.19243350677
速动比率(%),0.501738612745,0.61086177873,0.496398806396,0.443219842974,0.717360645548
应收款项周转率,3.19068091536,4.10538508077,4.16411668828,4.11956778852,3.5190102234
应收款项周转天数,112.828580967,87.6897033817,86.4529087318,87.3878082558,102.301493075
存货周转率,2.19884511946,2.87394924309,2.62365868074,2.56349619289,2.34343330904
存货周转天数,163.722308958,125.263172572,137.212970057,140.433210316,153.620757463
固定资产周转率,1.15948396871,1.3533137604,1.34926400142,1.59619691489,1.59526795449
总资产周转率,0.448645022658,0.566138289314,0.545499852776,0.576335998301,0.529263090458
ROA=资产收益率,0.00361315834143,0.00674045719762,0.0,0.00350255993349,0.00238637473028
净资产收益率,0.00733676566541,0.0142166821684,0.0,0.00700702260761,0.00508771939956
ROA=税前纯益占实收资本比率,0.0255669954877,0.0472169502647,0.0,0.014363356567,0.0157079052361
毛利率,0.12088873735,0.112372621296,0.0844693290456,0.131659095479,0.12051301602
营业利润率,0.00127974523543,0.0,0.0,0.0,0.0
净利率,0.11960899211438195,0.11237262129638503,0.08446932904563467,0.1316590954793919,0.1205130160198392
营业费用率,0.11960899211438195,0.11237262129638503,0.08446932904563467,0.1316590954793919,0.1205130160198392
经营安全边际率,0.010586141136799098,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.0207341321572,0.0361393913916,0.0,0.0179416498372,0.00965744679421
营收增长率,-0.151820611585,0.113831096154,-0.0112301341663,0.37834284691,0.207106712736
毛利率,0.12088873735,0.112372621296,0.0844693290456,0.131659095479,0.12051301602
营业利润率,0.00127974523543,0.0,0.0,0.0,0.0
净利增长率,-0.426273344438,0.0,0.0,0.857804678558,-0.256363700916
净资本增长率,0.0459130060361,0.0970637162258,0.0482396885624,0.0409404601355,0.632875831457
现金流量比率,0.0,0.0,0.0,0.0157985613247,0.0
现金再投资比率,0.0,0.0,0.0,-0.00180715904309,0.0
