,2017,2016,2015,2014,2013
负债占资产比率(%),0.74209671655,0.705711224732,0.672847243972,0.658961832231,0.654452837931
长期资金占不动产及设备比率(%),0.0,0.0,0.667427326237,0.663864643268,0.7181315827
流动比率(%),0.676956240689,0.562129021902,0.527988729095,0.468989335116,0.492820452353
速动比率(%),0.412067737622,0.302690232261,0.254507635942,0.293556715527,0.241359895662
应收款项周转率,2.238187463,5.99473297416,5.51656524183,5.21334305736,6.06308836788
应收款项周转天数,160.844435933,60.052716535,65.2579973623,69.0535796396,59.375680867
存货周转率,2.10298259124,3.09881335363,2.94235712433,3.41695649583,4.14134203856
存货周转天数,171.185439908,116.173502214,122.35088563,105.356916437,86.9283427083
固定资产周转率,0.453488598126,0.826795669244,0.761115519391,0.798066342945,0.806016850537
总资产周转率,0.198977844146,0.39916958081,0.388744917592,0.421078042936,0.445913882661
ROA=资产收益率,0.0,0.0132179210685,0.0197613011184,0.0126109474965,0.00569245037193
净资产收益率,0.0,0.0426900801497,0.0592226812974,0.0367389593348,0.0157747465339
ROA=税前纯益占实收资本比率,0.0,0.151400366125,0.21493324486,0.149751293452,0.127348890358
毛利率,-0.00127173165168,0.0783435160416,0.162044878452,0.1418029107,0.111449034119
营业利润率,0.0,0.0,0.0456047849237,0.00787087391356,0.00589695180642
净利率,-0.0012717316516829226,0.07834351604159302,0.11644009352818374,0.13393203678651758,0.10555208231226913
营业费用率,-0.0012717316516829226,0.07834351604159302,0.11644009352818374,0.13393203678651758,0.10555208231226913
经营安全边际率,-0.0,0.0,0.28143305335790797,0.0555057288647925,0.052911645695696535
EPS=基本每股收益,0.0,0.113726107522,0.149685766408,0.0884256830606,0.0746637014448
营收增长率,-0.459562901671,0.166338912319,-0.00267572006554,0.00962952067292,0.0336105132127
毛利率,-0.00127173165168,0.0783435160416,0.162044878452,0.1418029107,0.111449034119
营业利润率,0.0,0.0,0.0456047849237,0.00787087391356,0.00589695180642
净利增长率,0.0,-0.240234323868,0.692786091405,1.36863914726,-0.323605951069
净资本增长率,0.032799858122,0.142882635409,0.127978940515,0.0310877389574,0.111518224851
现金流量比率,0.0,0.0,0.0630637405964,0.0620166783219,0.0197343907173
现金再投资比率,0.0,0.0,0.0663276783731,0.0268216020913,-0.0174768969388
